TreeID,day
PIEN53,95
PIEN49,109
PIEN43,119
PIEN44,119
PIEN45,119
PIEN2,126
PIEN6,126
PIEN10,126
PIEN13,126
PIEN14,126
PIEN26,126
PIEN28,126
PIEN30,126
PIEN33,126
PIEN35,126
PIEN36,126
PIEN39,126
PIEN41,126
PIEN47,126
PIEN48,126
PIEN51,126
PIEN54,126
PIEN55,126
PIEN57,126
PIFL33,175
PIFL39,175
PIFL45,175
PIFL47,175
PIFL50,175
PIFL54,175
PIFL43,126
PIFL48,126
PIFL42,133
PIFL59,140
PIFL60,140
PIFL10,154
PIFL17,154
PIFL32,154
PIFL38,154
PIFL49,154
PIFL51,154
PIFL58,154
PIFL4,161
PIFL15,161
PIFL23,161
PIFL29,161
PIFL30,161
PIFL31,161
PIFL34,161
PIFL35,161
PIFL56,161
PIFL57,161
PIPO16,91
PIPO28,105
PIPO2,112
PIPO3,112
PIPO4,112
PIPO32,112
PIPO33,112
PIPO34,112
PIPO49,112
PIPO55,112
PIPO8,123
PIPO9,123
PIPO10,123
PIPO12,123
PIPO13,123
PIPO14,123
PIPO19,123
PIPO22,123
PIPO23,123
PIPO24,123
PIPO26,123
PIPO27,123
PIPO29,123
PIPO39,123
PIPO41,123
PIPO42,123
PIPO43,123
PIPO44,123
PIPO45,123
PIPO46,123
PIPO47,123
PIPO48,123
PIPO50,123
PIPO54,123
PIPO58,123
PIPO60,123
PSME47,77
PSME10,84
PSME14,84
PSME26,84
PSME7,91
PSME15,91
PSME20,91
PSME28,91
PSME44,91
PSME49,91
PSME50,91
PSME58,91
PSME13,98
PSME29,98
PSME38,98
PSME40,98
PSME41,98
PSME43,98
PSME54,98
PSME55,98
PSME59,98
PSME6,105
PSME8,105
PSME9,105
PSME16,105
PSME18,105
PSME21,105
PSME30,105
PSME32,105
PSME36,105
PSME39,105
PSME42,105
PSME53,105
PSME56,105
PSME60,105
PSME1,112
PSME2,112
PSME4,112
PSME11,112
PSME19,112
PSME23,112
PSME24,112
PSME25,112
PSME33,112
PSME35,112
PSME51,112
PSME46,123
