TreeID,Fv_Fm_dark,date,spp,id,temp,water,week
PIEN1,0.79,2025-08-04T07:00:00Z,PIEN,1,ambient,water,3
PIEN4,0.81,2025-08-04T07:00:00Z,PIEN,4,ambient,drought,3
PIEN9,0.78,2025-08-04T07:00:00Z,PIEN,9,ambient,water,3
PIEN14,0.8,2025-08-04T07:00:00Z,PIEN,14,ambient,drought,3
PIEN18,0.8,2025-08-04T07:00:00Z,PIEN,18,ambient,water,3
PIEN21,0.81,2025-08-04T07:00:00Z,PIEN,21,ambient,drought,3
PIEN24,0.79,2025-08-04T07:00:00Z,PIEN,24,ambient,water,3
PIEN26,0.81,2025-08-04T07:00:00Z,PIEN,26,ambient,drought,3
PIEN27,0.75,2025-08-04T07:00:00Z,PIEN,27,ambient,water,3
PIEN28,0.77,2025-08-04T07:00:00Z,PIEN,28,ambient,drought,3
PIEN31,0.81,2025-08-04T07:00:00Z,PIEN,31,heatwave,water,3
PIEN33,0.8,2025-08-04T07:00:00Z,PIEN,33,heatwave,drought,3
PIEN34,0.8,2025-08-04T07:00:00Z,PIEN,34,heatwave,water,3
PIEN35,0.79,2025-08-04T07:00:00Z,PIEN,35,heatwave,drought,3
PIEN38,0.8,2025-08-04T07:00:00Z,PIEN,38,heatwave,water,3
PIEN40,0.79,2025-08-04T07:00:00Z,PIEN,40,heatwave,drought,3
PIEN42,0.78,2025-08-04T07:00:00Z,PIEN,42,heatwave,water,3
PIEN45,0.81,2025-08-04T07:00:00Z,PIEN,45,heatwave,drought,3
PIEN46,0.79,2025-08-04T07:00:00Z,PIEN,46,heatwave,water,3
PIEN56,0.79,2025-08-04T07:00:00Z,PIEN,56,heatwave,drought,3
PIEN1,0.8,2025-08-11T07:00:00Z,PIEN,1,ambient,water,4
PIEN4,0.78,2025-08-11T07:00:00Z,PIEN,4,ambient,drought,4
PIEN9,0.76,2025-08-11T07:00:00Z,PIEN,9,ambient,water,4
PIEN14,0.77,2025-08-11T07:00:00Z,PIEN,14,ambient,drought,4
PIEN18,0.8,2025-08-11T07:00:00Z,PIEN,18,ambient,water,4
PIEN21,0.8,2025-08-11T07:00:00Z,PIEN,21,ambient,drought,4
PIEN24,0.77,2025-08-11T07:00:00Z,PIEN,24,ambient,water,4
PIEN26,0.81,2025-08-11T07:00:00Z,PIEN,26,ambient,drought,4
PIEN27,0.78,2025-08-11T07:00:00Z,PIEN,27,ambient,water,4
PIEN28,0.78,2025-08-11T07:00:00Z,PIEN,28,ambient,drought,4
PIEN31,0.79,2025-08-11T07:00:00Z,PIEN,31,heatwave,water,4
PIEN33,0.75,2025-08-11T07:00:00Z,PIEN,33,heatwave,drought,4
