TreeID,cpt,swl_rate,spp,id,temp,water
PIEN2,16,0.9999997610136804,PIEN,2,ambient,drought
PIEN3,43,0.9999022863743295,PIEN,3,ambient,drought
PIEN4,58,0.9993726119427974,PIEN,4,ambient,drought
PIEN5,26,0.9999963614995628,PIEN,5,ambient,drought
PIEN6,78,0.9712693616185891,PIEN,6,ambient,drought
PIEN7,41,0.9999298067513723,PIEN,7,ambient,drought
PIEN8,101,0.19010138947412883,PIEN,8,ambient,drought
PIEN10,27,0.9999985079129114,PIEN,10,ambient,drought
PIEN11,27,0.9999995017329365,PIEN,11,ambient,drought
PIEN12,77,0.9778880604510338,PIEN,12,ambient,drought
PIEN13,31,0.9999993661476143,PIEN,13,ambient,drought
PIEN14,45,0.9886806851824302,PIEN,14,ambient,drought
PIEN15,62,0.9982806519895514,PIEN,15,ambient,drought
PIEN16,38,0.7517293820203629,PIEN,16,ambient,drought
PIEN17,76,0.9803951938425445,PIEN,17,ambient,drought
PIEN19,71,0.0037407301402801645,PIEN,19,ambient,drought
PIEN20,37,0.9999435416498095,PIEN,20,ambient,drought
PIEN21,53,0.9986135762363519,PIEN,21,ambient,drought
PIEN22,29,0.9999987307118188,PIEN,22,ambient,drought
PIEN23,63,0.9989659777086647,PIEN,23,ambient,drought
PIEN25,38,0.9999907134666354,PIEN,25,ambient,drought
PIEN26,55,0.9996048107855344,PIEN,26,ambient,drought
PIEN28,24,0.9999999944945929,PIEN,28,ambient,drought
PIEN29,66,0.005484024984305069,PIEN,29,ambient,drought
PIEN30,35,0.9999993056848729,PIEN,30,ambient,drought
PIEN32,28,0.9979535398040628,PIEN,32,heatwave,drought
PIEN33,28,0.9999936695477113,PIEN,33,heatwave,drought
PIEN35,27,0.9999997320732424,PIEN,35,heatwave,drought
PIEN36,27,0.9999996025763739,PIEN,36,heatwave,drought
PIEN37,28,0.9999286724292452,PIEN,37,heatwave,drought
PIEN39,28,0.99992718840484,PIEN,39,heatwave,drought
PIEN40,24,0.999999917312086,PIEN,40,heatwave,drought
PIEN41,24,0.9999907458488347,PIEN,41,heatwave,drought
PIEN43,28,0.9999997967065655,PIEN,43,heatwave,drought
PIEN44,22,0.9999991570168875,PIEN,44,heatwave,drought
PIEN45,24,0.9999935461059356,PIEN,45,heatwave,drought
PIEN47,29,0.9999936854393361,PIEN,47,heatwave,drought
PIEN48,28,0.9999998819709859,PIEN,48,heatwave,drought
PIEN49,26,0.9999994068800733,PIEN,49,heatwave,drought
PIEN50,28,0.9999772762367105,PIEN,50,heatwave,drought
PIEN51,27,0.9999994783959725,PIEN,51,heatwave,drought
PIEN52,28,0.9994270028690357,PIEN,52,heatwave,drought
PIEN53,20,0.9999995357929964,PIEN,53,heatwave,drought
PIEN54,26,0.999997549394225,PIEN,54,heatwave,drought
PIEN55,25,0.9999979283121134,PIEN,55,heatwave,drought
PIEN56,28,0.9999691891841306,PIEN,56,heatwave,drought
PIEN57,25,0.9999993573791681,PIEN,57,heatwave,drought
PIEN58,28,0.9999953710854104,PIEN,58,heatwave,drought
PIEN59,27,0.9999991494102181,PIEN,59,heatwave,drought
PIEN60,28,0.9999935584355918,PIEN,60,heatwave,drought
PIFL31,30,0.9999569203337809,PIFL,31,heatwave,drought
PIFL32,29,0.9999949093980818,PIFL,32,heatwave,drought
PIFL33,29,0.9998787982701642,PIFL,33,heatwave,drought
PIFL34,29,0.9999857650786205,PIFL,34,heatwave,drought
PIFL35,27,0.9999988380954178,PIFL,35,heatwave,drought
PIFL37,28,0.996771081443656,PIFL,37,heatwave,drought
PIFL38,28,0.9999990371885572,PIFL,38,heatwave,drought
PIFL39,28,0.9994863310362426,PIFL,39,heatwave,drought
PIFL40,26,0.9879964841694507,PIFL,40,heatwave,drought
PIFL42,28,0.9999998564359324,PIFL,42,heatwave,drought
PIFL43,29,0.9999998284173468,PIFL,43,heatwave,drought
PIFL44,28,0.999445847397095,PIFL,44,heatwave,drought
PIFL45,28,0.9999980011650188,PIFL,45,heatwave,drought
PIFL47,37,0.9708652742059984,PIFL,47,heatwave,drought
PIFL48,27,0.9999999730302914,PIFL,48,heatwave,drought
PIFL49,29,0.9999741908740737,PIFL,49,heatwave,drought
PIFL50,28,0.9997737037932404,PIFL,50,heatwave,drought
PIFL51,26,0.9999987881486684,PIFL,51,heatwave,drought
PIFL53,28,0.9982582722231497,PIFL,53,heatwave,drought
PIFL54,29,0.9998759575975223,PIFL,54,heatwave,drought
PIFL56,29,0.9998415977274323,PIFL,56,heatwave,drought
PIFL57,29,0.9999933863537741,PIFL,57,heatwave,drought
PIFL58,29,0.9999988073779896,PIFL,58,heatwave,drought
PIFL59,28,0.9999996941191619,PIFL,59,heatwave,drought
PIFL60,28,0.9999998297818625,PIFL,60,heatwave,drought
PIFL2,109,0.7021207358727576,PIFL,2,ambient,drought
PIFL3,78,0.9726191349231896,PIFL,3,ambient,drought
PIFL4,42,0.9995702474012348,PIFL,4,ambient,drought
PIFL5,49,0.9897460420627358,PIFL,5,ambient,drought
PIFL6,63,0.9981362746628728,PIFL,6,ambient,drought
PIFL7,35,0.9999909168955184,PIFL,7,ambient,drought
PIFL8,109,0.7746301694291877,PIFL,8,ambient,drought
PIFL10,34,0.9999965826923362,PIFL,10,ambient,drought
PIFL11,39,0.981196233980213,PIFL,11,ambient,drought
PIFL13,34,0.999941849403087,PIFL,13,ambient,drought
PIFL14,101,0.8188019163388172,PIFL,14,ambient,drought
PIFL15,52,0.9997952911762925,PIFL,15,ambient,drought
PIFL16,103,0.7400308499481072,PIFL,16,ambient,drought
PIFL17,41,0.9998169311594408,PIFL,17,ambient,drought
PIFL18,51,0.9984687757825126,PIFL,18,ambient,drought
PIFL19,33,0.9899036434200055,PIFL,19,ambient,drought
PIFL20,34,0.9889808482484864,PIFL,20,ambient,drought
PIFL22,97,0.9718157057125658,PIFL,22,ambient,drought
PIFL23,77,0.9894679006558159,PIFL,23,ambient,drought
PIFL24,125,0.006113659954491459,PIFL,24,ambient,drought
PIFL25,159,7.698528704773482e-12,PIFL,25,ambient,drought
PIFL26,52,0.9985351405196032,PIFL,26,ambient,drought
PIFL27,102,0.9292969220137662,PIFL,27,ambient,drought
PIFL29,76,0.9974706796240332,PIFL,29,ambient,drought
PIFL30,43,0.9999110315691158,PIFL,30,ambient,drought
PIPO2,12,0.999999999963444,PIPO,2,ambient,drought
PIPO3,18,0.9999999884285832,PIPO,3,ambient,drought
PIPO4,21,0.9999999991462538,PIPO,4,ambient,drought
PIPO6,19,0.9999999273775367,PIPO,6,ambient,drought
PIPO7,31,0.9999760193160055,PIPO,7,ambient,drought
PIPO8,19,0.9999999999672484,PIPO,8,ambient,drought
PIPO9,15,0.9999999999982008,PIPO,9,ambient,drought
PIPO10,20,0.9999999997229704,PIPO,10,ambient,drought
PIPO12,17,0.9999999999755507,PIPO,12,ambient,drought
PIPO13,25,0.9999999850738989,PIPO,13,ambient,drought
PIPO14,26,0.9999997043542913,PIPO,14,ambient,drought
PIPO15,28,0.999999269147609,PIPO,15,ambient,drought
PIPO16,18,0.9999999976095962,PIPO,16,ambient,drought
PIPO17,39,0.9999897335208034,PIPO,17,ambient,drought
PIPO19,21,0.9999999678953906,PIPO,19,ambient,drought
PIPO21,33,0.9999997976813311,PIPO,21,ambient,drought
PIPO22,38,0.9999986844987576,PIPO,22,ambient,drought
PIPO23,31,0.9999998686457434,PIPO,23,ambient,drought
PIPO24,52,0.9999593263275636,PIPO,24,ambient,drought
PIPO25,27,0.9999999851047273,PIPO,25,ambient,drought
PIPO26,22,0.999999995863212,PIPO,26,ambient,drought
PIPO27,19,0.9999999998861681,PIPO,27,ambient,drought
PIPO28,13,0.9999999999979715,PIPO,28,ambient,drought
PIPO29,23,0.9999999989238078,PIPO,29,ambient,drought
PIPO30,32,0.9999972113729333,PIPO,30,ambient,drought
PIPO32,25,0.999999999876435,PIPO,32,heatwave,drought
PIPO33,18,0.9999999999877708,PIPO,33,heatwave,drought
PIPO34,22,0.9999999999623931,PIPO,34,heatwave,drought
PIPO36,23,0.9999999945432136,PIPO,36,heatwave,drought
PIPO37,27,0.9999998811148689,PIPO,37,heatwave,drought
PIPO38,28,0.9999999985345996,PIPO,38,heatwave,drought
PIPO39,28,0.9999999816157632,PIPO,39,heatwave,drought
PIPO40,27,0.9999962080381414,PIPO,40,heatwave,drought
PIPO41,24,0.9999982454177334,PIPO,41,heatwave,drought
PIPO42,29,0.9999994577361043,PIPO,42,heatwave,drought
PIPO43,26,0.99999999308206855,PIPO,43,heatwave,drought
PIPO44,26,0.9999998413044466,PIPO,44,heatwave,drought
PIPO45,27,0.9999999816418729,PIPO,45,heatwave,drought
PIPO46,27,0.9999999870348367,PIPO,46,heatwave,drought
PIPO47,29,0.9999998838645808,PIPO,47,heatwave,drought
PIPO48,29,0.9999802488760772,PIPO,48,heatwave,drought
PIPO49,27,0.9999999690828734,PIPO,49,heatwave,drought
PIPO50,24,0.9999988881080896,PIPO,50,heatwave,drought
PIPO52,30,0.9999998058789425,PIPO,52,heatwave,drought
PIPO54,25,0.999999989141847,PIPO,54,heatwave,drought
PIPO55,20,0.9999991486612291,PIPO,55,heatwave,drought
PIPO57,27,0.9999999922895138,PIPO,57,heatwave,drought
