TreeID,Area_mm2,Stomata_n,StomatalDensity_n_mm-2
PIPO1,0.993,44,44.3101712
PIPO1,0.591,29,49.06937394
PIPO1,1.4,56,40
PIPO2,0.421,25,59.3824228
PIPO2,1.619,69,42.61890056
PIPO2,1.026,67,65.30214425
PIPO3,0.637,37,58.08477237
PIPO3,1.272,74,58.17610063
PIPO3,0.8,49,61.25
PIPO4,1.596,74,46.36591479
PIPO4,0.784,52,66.32653061
PIPO4,1.559,70,44.90057729
PIPO5,1.657,79,47.67652384
PIPO5,0.577,27,46.79376083
PIPO5,0.495,25,50.50505051
PIPO6,2.463,105,42.63093788
PIPO6,0.875,42,48
PIPO6,0.404,23,56.93069307
PIPO7,1.727,71,41.11175449
PIPO7,1.106,43,38.87884268
PIPO7,0.7,32,45.71428571
PIPO8,0.937,60,64.03415155
PIPO8,0.741,56,75.57354926
PIPO8,0.68,46,67.64705882
PIPO9,1.713,114,66.54991243
PIPO9,0.666,28,42.04204204
PIPO9,1.835,85,46.32152589
PIPO10,1.752,84,47.94520548
PIPO10,0.854,54,63.23185012
PIPO10,1.966,101,51.3733469
PIPO11,1.084,66,60.88560886
PIPO11,0.605,34,56.19834711
PIPO11,1.101,60,54.49591281
PIPO12,1.334,83,62.21889055
PIPO12,1.031,68,65.95538312
PIPO12,1.08,54,50
PIPO13,1.732,91,52.5404157
PIPO13,1.12,47,41.96428571
PIPO13,0.356,19,53.37078652
PIPO14,1.08,83,76.85185185
PIPO14,0.727,59,81.15543329
PIPO14,0.241,13,53.94190871
PIPO15,0.666,49,73.57357357
PIPO15,0.49,42,85.71428571
PIPO15,1.149,82,71.36640557
PIPO16,2.468,134,54.29497569
PIPO16,1.264,75,59.33544304
PIPO16,0.828,50,60.38647343
PIPO17,0.451,36,79.82261641
PIPO17,0.607,47,77.42998353
PIPO17,0.266,15,56.39097744
PIPO18,0.942,38,40.33970276
PIPO18,1.091,52,47.66269478
PIPO18,0.492,23,46.74796748
PIPO19,0.622,26,41.80064309
PIPO19,0.466,10,21.45922747
PIPO19,0.577,23,39.86135182
PIPO20,1.384,82,59.24855491
PIPO20,0.645,44,68.21705426
PIPO20,0.264,18,68.18181818
PIPO21,1.09,65,59.63302752
PIPO21,1.001,54,53.94605395
PIPO21,0.534,29,54.3071161
PIPO22,0.569,35,61.51142355
PIPO22,0.989,47,47.52275025
PIPO22,1.049,47,44.80457579
PIPO23,1.071,55,51.35387488
PIPO23,0.492,35,71.13821138
PIPO23,0.861,34,39.48896632
PIPO24,0.668,30,44.91017964
PIPO24,0.776,49,63.1443299
PIPO24,0.519,31,59.73025048
PIPO25,0.662,25,37.76435045
PIPO25,0.26,16,61.53846154
PIPO25,0.978,43,43.96728016
PIPO26,2.301,126,54.75880052
PIPO26,1.734,122,70.35755479
PIPO26,0.378,18,47.61904762
PIPO27,0.85,63,74.11764706
PIPO27,1.069,64,59.86903648
PIPO27,0.333,17,51.05105105
PIPO28,0.665,36,54.13533835
PIPO28,0.682,41,60.11730205
PIPO28,0.67,43,64.17910448
PIPO29,1.248,57,45.67307692
PIPO29,1.416,58,40.96045198
PIPO29,0.311,23,73.95498392
PIPO30,0.558,22,39.4265233
PIPO30,1.041,64,61.47934678
PIPO30,0.628,33,52.5477707
PIPO31,0.791,39,49.30467762
PIPO31,1.567,83,52.96745373
PIPO31,0.912,46,50.43859649
PIPO32,0.81,48,59.25925926
PIPO32,0.805,31,38.50931677
PIPO32,0.685,48,70.0729927
PIPO33,0.708,29,40.96045198
PIPO33,0.622,41,65.91639871
PIPO33,0.767,30,39.11342894
PIPO34,0.372,27,72.58064516
PIPO34,0.507,40,78.89546351
PIPO34,1.656,86,51.93236715
PIPO35,1.205,56,46.47302905
PIPO35,1.205,76,63.07053942
PIPO35,0.956,50,52.30125523
PIPO36,1.595,93,58.30721003
PIPO36,0.329,23,69.90881459
PIPO36,1.249,65,52.04163331
PIPO37,0.278,21,75.53956835
PIPO37,0.708,64,90.39548023
PIPO37,0.557,47,84.38061041
PIPO38,0.388,17,43.81443299
PIPO38,0.485,25,51.54639175
PIPO38,0.893,42,47.0324748
PIPO39,1.394,56,40.17216643
PIPO39,0.625,34,54.4
PIPO39,0.39,17,43.58974359
PIPO40,0.492,27,54.87804878
PIPO40,0.664,37,55.72289157
PIPO40,0.792,44,55.55555556
PIPO41,1.441,94,65.23247745
PIPO41,1.469,106,72.15793057
PIPO41,0.994,75,75.4527163
PIPO42,0.459,34,74.07407407
PIPO42,0.742,45,60.64690027
PIPO42,1.109,56,50.49594229
PIPO43,1.56,81,51.92307692
PIPO43,1.074,51,47.48603352
PIPO43,0.357,22,61.62464986
PIPO44,1.083,70,64.63527239
PIPO44,0.455,30,65.93406593
PIPO44,0.249,11,44.17670683
PIPO45,0.769,38,49.41482445
PIPO45,0.769,40,52.01560468
PIPO45,0.208,10,48.07692308
PIPO46,1.659,88,53.04400241
PIPO46,0.58,44,75.86206897
PIPO46,1.368,73,53.3625731
