TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIEN1,521.6,10%,4.769
PIEN2,386.5,10%,6.188
PIEN3,465.3,10%,5.495
PIEN4,463.6,10%,4.806
PIEN5,429.7,10%,5.217
PIEN6,496.2,10%,5.152
PIEN7,437,10%,5.243
PIEN8,489.4,10%,4.889
PIEN9,538.5,10%,4.619
PIEN10,423,10%,5.126
PIEN11,403.6,10%,5.6
PIEN12,489.5,10%,4.926
PIEN13,431.1,10%,5.401
PIEN14,456.5,10%,5.986
PIEN15,467.8,10%,5.21
PIEN16,474,10%,5.866
PIEN17,479.1,10%,5.768
PIEN18,509.7,10%,5.192
PIEN19,506.4,10%,4.02
PIEN20,433.8,10%,5.646
PIEN21,473.4,10%,5.733
PIEN22,419.1,10%,5.229
PIEN23,491.6,10%,4.385
PIEN24,511.3,10%,5.624
PIEN25,439.9,10%,4.826
PIEN26,463.6,10%,6.623
PIEN27,503.9,10%,5.602
PIEN28,407.8,10%,5.305
PIEN29,519.3,10%,3.36
PIEN30,441.7,10%,5.243
PIEN31,521,10%,4.626
PIEN32,491.4,10%,2.985
PIEN33,453.5,10%,4.393
PIEN34,452.2,10%,5.288
PIEN35,447.1,10%,5.224
PIEN36,405.1,10%,3.95
PIEN37,478.3,10%,3.372
PIEN38,422.2,10%,6.21
PIEN39,486.5,10%,4.981
PIEN40,396.7,10%,6.294
PIEN41,363.1,10%,4.635
PIEN42,440.7,10%,5.793
PIEN43,429.3,10%,3.882
PIEN44,347.1,10%,5.024
PIEN45,359.4,10%,5.132
PIEN46,483.7,10%,3.421
PIEN47,463.3,10%,4.947
PIEN48,448.5,10%,4.835
PIEN49,399.6,10%,5.164
PIEN50,445.8,10%,3.443
PIEN51,428.7,10%,5.741
PIEN52,475.6,10%,5.086
PIEN53,346.4,10%,6.114
PIEN54,387.9,10%,5.318
PIEN55,372.1,10%,5.085
PIEN56,446.2,10%,3.355
PIEN57,416.5,10%,5.185
PIEN58,447.8,10%,3.896
PIEN59,426.8,10%,5.972
PIEN60,430.1,10%,3.837
