TreeID,Pot_weight_g,Perc_brown
PIEN1,493.2,10%
PIEN2,218.2,10%
PIEN3,214.1,10%
PIEN4,204.7,10%
PIEN5,212,10%
PIEN6,218.2,10%
PIEN7,220,10%
PIEN8,240.8,10%
PIEN9,544.3,10%
PIEN10,210.6,10%
PIEN11,209.5,10%
PIEN12,224.5,10%
PIEN13,217.7,10%
PIEN14,219.4,10%
PIEN15,218.4,10%
PIEN16,233.7,10%
PIEN17,229.9,10%
PIEN18,510.7,10%
PIEN19,351.2,10%
PIEN20,218,10%
PIEN21,207.8,10%
PIEN22,205.8,10%
PIEN23,211,10%
PIEN24,478.1,10%
PIEN25,203.2,10%
PIEN26,202,10%
PIEN27,461.6,10%
PIEN28,203.3,10%
PIEN29,317.7,10%
PIEN30,206,10%
PIEN31,489.5,10%
PIEN32,227.8,10%
PIEN33,212.1,10%
PIEN34,456,10%
PIEN35,207.6,10%
PIEN36,199.1,10%
PIEN37,205.6,10%
PIEN38,384.5,10%
PIEN39,211.5,10%
PIEN40,208.9,10%
PIEN41,199.9,10%
PIEN42,446.3,10%
PIEN43,193.5,10%
PIEN44,198.8,10%
PIEN45,210.7,10%
PIEN46,471.7,10%
PIEN47,200,10%
PIEN48,197.7,10%
PIEN49,202.1,10%
PIEN50,203.7,10%
PIEN51,199.5,10%
PIEN52,216.9,10%
PIEN53,200,25%
PIEN54,196,10%
PIEN55,192.3,10%
PIEN56,211.8,10%
PIEN57,199.8,10%
PIEN58,210.1,10%
PIEN59,199.8,10%
PIEN60,200,10%
