TreeID,Pot_weight_g,Perc_brown
PIFL1,538.6,10%
PIFL2,402.6,10%
PIFL3,367.4,10%
PIFL4,308,10%
PIFL5,360.6,10%
PIFL6,359.5,10%
PIFL7,273.3,10%
PIFL8,426.1,10%
PIFL9,561.6,10%
PIFL10,269.8,10%
PIFL11,358.4,10%
PIFL12,547.9,10%
PIFL13,272.2,10%
PIFL14,382.1,10%
PIFL15,321.2,10%
PIFL16,392.7,10%
PIFL17,296.4,10%
PIFL18,326.7,10%
PIFL19,355.9,10%
PIFL20,355.9,10%
PIFL21,555.8,10%
PIFL22,384.7,10%
PIFL23,363.7,10%
PIFL24,467.7,10%
PIFL25,444.3,10%
PIFL26,338.3,10%
PIFL27,418.1,10%
PIFL28,544.4,10%
PIFL29,364.8,10%
PIFL30,301.1,10%
PIFL31,287.6,10%
PIFL32,286.8,10%
PIFL33,321.4,10%
PIFL34,300.8,10%
PIFL35,250.7,10%
PIFL36,524.7,10%
PIFL37,378.1,10%
PIFL38,250.3,10%
PIFL39,347.3,10%
PIFL40,393.6,10%
PIFL41,529.6,10%
PIFL42,249.3,10%
PIFL43,254.1,10%
PIFL44,344.6,10%
PIFL45,265.2,10%
PIFL46,519.5,10%
PIFL47,360.2,10%
PIFL48,250.9,10%
PIFL49,300.9,10%
PIFL50,323,10%
PIFL51,248.4,10%
PIFL52,548.4,10%
PIFL53,354.7,10%
PIFL54,323.2,10%
PIFL55,436.1,10%
PIFL56,322.7,10%
PIFL57,297.2,10%
PIFL58,276.7,10%
PIFL59,255.1,10%
PIFL60,245.7,10%
