TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIPO1,568.4,10%,5.826
PIPO2,250.2,10%,5.114
PIPO3,253.4,10%,4.575
PIPO4,256.1,10%,5.221
PIPO5,586.6,10%,6.024
PIPO6,298.2,10%,5.729
PIPO7,343.5,10%,4.104
PIPO8,264,10%,6.311
PIPO9,261.1,10%,6.006
PIPO10,276.4,10%,5.506
PIPO11,232.4,10%,5.674
PIPO12,249.8,10%,6.811
PIPO13,271.4,10%,4.868
PIPO14,298.7,10%,4.879
PIPO15,331.8,10%,5.192
PIPO16,269.2,10%,4.024
PIPO17,365.1,10%,5.918
PIPO18,604.2,10%,4.996
PIPO19,294.7,25%,5.251
PIPO20,572.2,10%,5.678
PIPO21,323.2,10%,5.744
PIPO22,328.3,10%,4.974
PIPO23,296.8,10%,4.947
PIPO24,357.3,10%,4.787
PIPO25,284,10%,4.138
PIPO26,275.4,10%,5.21
PIPO27,260,10%,6.173
PIPO28,241.1,10%,6.171
PIPO29,264.4,10%,5.831
PIPO30,332.5,10%,5.658
PIPO31,542.4,10%,5.024
PIPO32,262.3,10%,4.984
PIPO33,250.4,10%,4.531
PIPO34,246,10%,4.605
PIPO35,563.6,10%,3.487
PIPO36,291.5,10%,5.599
PIPO37,289.2,10%,4.872
PIPO38,282.1,10%,4.827
PIPO39,304.6,10%,4.079
PIPO40,334.4,10%,5.115
PIPO41,269.9,10%,5.224
PIPO42,290.9,10%,6.239
PIPO43,245.7,10%,5.301
PIPO44,248.1,10%,5.087
PIPO45,266.8,10%,5.104
PIPO46,258.3,10%,5.007
PIPO47,298.9,10%,5.2
PIPO48,336.5,10%,4.968
PIPO49,267.3,10%,5.151
PIPO50,244.1,10%,4.987
PIPO51,519,10%,6.489
PIPO52,293.7,10%,5.589
PIPO53,532,10%,5.721
PIPO54,256.8,10%,5.006
PIPO55,245.5,10%,6.966
PIPO56,540.4,10%,3.962
PIPO57,256.6,10%,6.204
PIPO58,261.7,10%,4.577
PIPO59,330.8,10%,5.068
PIPO60,279.4,10%,5.538
