TreeID,Pot_weight_g,Perc_brown
PIPO1,443.5,10%
PIPO2,198.7,>90%
PIPO3,185.9,>90%
PIPO4,195.8,>90%
PIPO5,423.1,10%
PIPO6,196.9,50%
PIPO7,197.7,25%
PIPO8,200,25%
PIPO9,206.3,75%
PIPO10,198.2,25%
PIPO11,373.6,10%
PIPO12,197.5,75%
PIPO13,191.7,25%
PIPO14,192.8,50%
PIPO15,205.6,25%
PIPO16,203.8,>90%
PIPO17,209.2,25%
PIPO18,514,10%
PIPO19,196.3,75%
PIPO20,332.9,10%
PIPO21,191.2,25%
PIPO22,189.7,50%
PIPO23,190.8,75%
PIPO24,194.1,75%
PIPO25,193.5,50%
PIPO26,192.2,50%
PIPO27,196.6,75%
PIPO28,191,>90%
PIPO29,193.4,25%
PIPO30,197.2,50%
PIPO31,471.2,10%
PIPO32,197.1,>90%
PIPO33,200.5,>90%
PIPO34,192.6,90%
PIPO35,508.4,10%
PIPO36,205.4,50%
PIPO37,195.9,25%
PIPO38,198.9,25%
PIPO39,197.8,25%
PIPO40,198.5,25%
PIPO41,199.5,25%
PIPO42,192.6,25%
PIPO43,194,50%
PIPO44,192.5,25%
PIPO45,200,25%
PIPO46,192.8,50%
PIPO47,201,25%
PIPO48,235.7,50%
PIPO49,201.9,90%
PIPO50,195.2,75%
PIPO51,498.2,10%
PIPO52,194.7,25%
PIPO53,414.1,10%
PIPO54,198.2,75%
PIPO55,199.8,90%
PIPO56,,
PIPO57,208.2,10%
PIPO58,200.1,75%
PIPO59,212.1,10%
PIPO60,198.9,50%
