TreeID,Pot_weight_g,Perc_brown
PSME1,196.3,10%
PSME2,196.2,10%
PSME3,457.3,10%
PSME4,201.6,10%
PSME5,230.9,10%
PSME6,189.5,25%
PSME7,193.2,50%
PSME8,193.2,50%
PSME9,196.2,50%
PSME10,187.3,>90%
PSME11,190.1,10%
PSME12,421,10%
PSME13,200.9,25%
PSME14,196,25%
PSME15,194.4,50%
PSME16,196,25%
PSME17,469.3,10%
PSME18,195.7,25%
PSME19,202.3,10%
PSME20,194.6,50%
PSME21,184.4,25%
PSME22,,
PSME23,184.5,10%
PSME24,189.6,10%
PSME25,181.8,10%
PSME26,191,>90%
PSME27,412.2,10%
PSME28,184.8,75%
PSME29,193,25%
PSME30,184.5,25%
PSME31,397.8,10%
PSME32,183,25%
PSME33,193.2,10%
PSME34,203.3,10%
PSME35,200,10%
PSME36,192.8,50%
PSME37,423.3,10%
PSME38,192.8,75%
PSME39,185.3,50%
PSME40,189.3,50%
PSME41,189,75%
PSME42,193.4,25%
PSME43,192.5,25%
PSME44,193.2,50%
PSME45,480.3,10%
PSME46,200.5,10%
PSME47,190.5,75%
PSME48,485.2,10%
PSME49,183.4,25%
PSME50,193.9,90%
PSME51,196.2,10%
PSME52,208.9,10%
PSME53,186.7,50%
PSME54,191.1,25%
PSME55,188.1,75%
PSME56,186.1,25%
PSME57,467.2,10%
PSME58,192,75%
PSME59,193,75%
PSME60,192.1,25%
