TreeID,VWC_perc,
PIPO1,14.3,
PIPO2,13.1,
PIPO3,13,
PIPO4,12.4,
PIPO5,14.3,
PIPO6,12.9,
PIPO7,11.6,
PIPO8,11.7,
PIPO9,12.8,
PIPO10,10.9,
PIPO11,10.2,
PIPO12,13,
PIPO13,13,
PIPO14,13.1,
PIPO15,13.2,
PIPO16,12.2,
PIPO17,13.2,
PIPO18,12.7,
PIPO19,12.5,
PIPO20,11.7,
PIPO21,13.1,
PIPO22,12.6,
PIPO23,12.1,
PIPO24,13.2,
PIPO25,12.7,
PIPO26,13.9,
PIPO27,12.2,
PIPO28,11.1,
PIPO29,11.4,
PIPO30,11.8,
PIPO31,10.7,
PIPO32,11.7,
PIPO33,11.3,
PIPO34,11.3,
PIPO35,11.4,
PIPO36,12.1,
PIPO37,12.5,
PIPO38,13,
PIPO39,13.3,
PIPO40,12.1,
PIPO41,12.2,
PIPO42,12.8,
PIPO43,12.1,
PIPO44,12.1,
PIPO45,12.7,
PIPO46,12.7,
PIPO47,13.1,
PIPO48,14.4,
PIPO49,12.8,
PIPO50,9.1,
PIPO51,12.1,
PIPO52,13.8,
PIPO53,12.1,
PIPO54,13.4,
PIPO55,9.4,
PIPO56,13.3,
PIPO57,13.7,
PIPO58,12.5,
PIPO59,13.7,
PIPO60,12.1,
PSME1,13.6,
PSME2,13.7,
PSME3,13.3,
PSME4,13.8,
PSME5,13.6,
PSME6,12.7,
PSME7,13.6,
PSME8,12.5,
PSME9,15.4,
PSME10,12.4,
PSME11,13,
PSME12,12.8,
PSME13,12.9,
PSME14,12.8,
PSME15,11.1,
PSME16,13.9,
PSME17,13.4,
PSME18,14.3,
PSME19,13.9,
PSME20,12.8,
PSME21,13,
PSME22,13.5,
PSME23,10.7,
PSME24,13.2,
PSME25,12,
PSME26,9.4,
PSME27,11,
PSME28,11.3,
PSME29,12,
PSME30,11.5,
PSME31,11.1,
PSME32,12.4,
PSME33,13.6,
PSME34,13.6,
PSME35,12.5,
PSME36,12.5,
PSME37,11,
PSME38,12.3,
PSME39,12.2,
PSME40,11,
PSME41,12.5,
PSME42,13.5,
PSME43,11.7,
PSME44,9.5,
PSME45,14.9,
PSME46,13.8,
PSME47,9.1,
PSME48,12,
PSME49,11,
PSME50,13.1,
PSME51,11.6,
PSME52,11.5,
PSME53,13.2,
PSME54,12.2,
PSME55,11.7,
PSME56,11.4,
PSME57,13.6,
PSME58,12.8,
PSME59,12.9,
PSME60,12.3,
PIFL1,12.1,
PIFL2,11.7,
PIFL3,11.9,
PIFL4,11.9,
PIFL5,10.4,
PIFL6,11.5,
PIFL7,11.2,
PIFL8,11.4,
PIFL9,12.9,
PIFL10,10.5,
PIFL11,10.9,
PIFL12,11,
PIFL13,11.1,
PIFL14,11.4,
PIFL15,9.4,
PIFL16,10,
PIFL17,12,
PIFL18,10.4,
PIFL19,10.4,
PIFL20,10.3,
PIFL21,11.8,
PIFL22,11.7,
PIFL23,10.7,
PIFL24,14.4,
PIFL25,12.1,
PIFL26,11.7,
PIFL27,10.9,
PIFL28,11.6,
PIFL29,11.5,
PIFL30,12.3,
PIFL31,12,
PIFL32,12.5,
PIFL33,12.9,
PIFL34,12.7,
PIFL35,11,
PIFL36,12.7,
PIFL37,12.9,
PIFL38,9.9,
PIFL39,12.5,
PIFL40,13.2,
PIFL41,10.9,
PIFL42,11.5,
PIFL43,12.1,
PIFL44,11.5,
PIFL45,12.4,
PIFL46,10.9,
PIFL47,11.3,
PIFL48,13.4,
PIFL49,12.7,
PIFL50,10.8,
PIFL51,12.5,
PIFL52,13,
PIFL53,12.7,
PIFL54,12.6,
PIFL55,11.9,
PIFL56,13,
PIFL57,12.7,
PIFL58,11.2,
PIFL59,11.4,
PIFL60,10.9,
PIEN1,13.1,
PIEN2,13.6,
PIEN3,12.9,
PIEN4,13.4,
PIEN5,14.9,
PIEN6,12.3,
PIEN7,12.6,
PIEN8,13.8,
PIEN9,12.4,
PIEN10,12.1,
PIEN11,13,
PIEN12,13.3,
PIEN13,14.7,
PIEN14,13.5,
PIEN15,13.4,
PIEN16,13.7,
PIEN17,18.5,
PIEN18,12.8,
PIEN19,12.6,
PIEN20,13.4,
PIEN21,11.4,
PIEN22,13.8,
PIEN23,11.6,
PIEN24,12.8,
PIEN25,12.8,
PIEN26,11.2,
PIEN27,10.6,
PIEN28,12.1,
PIEN29,10.5,
PIEN30,11.4,
PIEN31,13.1,
PIEN32,10.6,
PIEN33,11.2,
PIEN34,13.2,
PIEN35,12.9,
PIEN36,11.4,
PIEN37,11.8,
PIEN38,10.8,
PIEN39,11.4,
PIEN40,10.7,
PIEN41,11.5,
PIEN42,11.5,
PIEN43,11,
PIEN44,9.8,
PIEN45,13.7,
PIEN46,12.7,
PIEN47,11,
PIEN48,11.8,
PIEN49,10.6,
PIEN50,12.9,
PIEN51,13.2,
PIEN52,13.1,
PIEN53,10.8,
PIEN54,12.7,
PIEN55,10.3,
PIEN56,11.3,
PIEN57,10.8,
PIEN58,11.1,
PIEN59,12.9,
PIEN60,12.1,
