Device Name,2R
Device Model,Kestrel DROP 2
Serial Number,3076481
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°C,%,°C,°C
2000-01-01 12:10:00 AM,25.0,31.2,23.1,6.8,point
2000-01-01 12:20:00 AM,23.4,33.1,21.8,6.3,point
2000-01-01 12:30:00 AM,23.0,35.2,21.6,6.8,point
2000-01-01 12:40:00 AM,22.8,35.5,21.5,6.8,point
2000-01-01 12:50:00 AM,22.8,34.8,21.5,6.5,point
2025-07-09 02:30:00 PM,21.1,77.9,21.5,17.1,point
2025-07-09 03:00:00 PM,18.7,78.6,18.5,14.9,point
2025-07-09 03:30:00 PM,18.7,82.4,18.7,15.7,point
2025-07-09 04:00:00 PM,17.6,85.0,17.5,15.0,point
2025-07-09 04:30:00 PM,17.5,83.3,17.5,14.7,point
2025-07-09 05:00:00 PM,17.0,83.3,17.0,14.1,point
2025-07-09 05:30:00 PM,16.5,85.4,16.5,14.1,point
2025-07-09 06:00:00 PM,16.0,85.7,16.0,13.6,point
2025-07-09 06:30:00 PM,15.5,88.2,15.6,13.6,point
2025-07-09 07:00:00 PM,15.1,88.0,15.2,13.2,point
2025-07-09 07:30:00 PM,14.9,89.5,15.0,13.2,point
2025-07-09 08:00:00 PM,14.4,88.5,14.5,12.5,point
2025-07-09 08:30:00 PM,13.1,85.3,13.1,10.7,point
2025-07-09 09:00:00 PM,13.2,89.5,13.3,11.5,point
2025-07-09 09:30:00 PM,13.8,91.3,13.9,12.4,point
2025-07-09 10:00:00 PM,14.0,90.7,14.2,12.5,point
2025-07-09 10:30:00 PM,14.0,90.9,14.2,12.5,point
2025-07-09 11:00:00 PM,13.5,89.7,13.7,11.8,point
2025-07-09 11:30:00 PM,15.7,95.8,16.3,15.1,point
2025-07-10 12:00:00 AM,16.3,91.2,16.6,14.9,point
2025-07-10 12:30:00 AM,15.9,89.4,16.0,14.1,point
2025-07-10 01:00:00 AM,16.0,88.8,16.1,14.1,point
2025-07-10 01:30:00 AM,15.9,89.3,16.0,14.1,point
2025-07-10 02:00:00 AM,16.0,89.5,16.2,14.3,point
2025-07-10 02:30:00 AM,16.2,89.6,16.4,14.5,point
2025-07-10 03:00:00 AM,16.3,89.6,16.4,14.6,point
2025-07-10 03:30:00 AM,15.4,80.6,15.1,12.1,point
2025-07-10 04:00:00 AM,16.3,89.0,16.4,14.4,point
2025-07-10 04:30:00 AM,16.0,89.9,16.2,14.4,point
2025-07-10 05:00:00 AM,16.0,89.0,16.2,14.2,point
2025-07-10 05:30:00 AM,16.1,88.7,16.3,14.3,point
2025-07-10 06:00:00 AM,16.1,88.4,16.2,14.2,point
2025-07-10 06:30:00 AM,16.2,89.2,16.4,14.4,point
2025-07-10 07:00:00 AM,16.6,89.2,16.7,14.8,point
2025-07-10 07:30:00 AM,16.9,89.1,17.1,15.1,point
2025-07-10 08:00:00 AM,17.4,89.1,17.6,15.6,point
2025-07-10 08:30:00 AM,17.9,89.0,18.0,16.0,point
