Device Name,3R
Device Model,Kestrel DROP 2
Serial Number,3076474
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°C,%,°C,°C
2000-01-01 12:10:00 AM,26.5,47.4,26.0,14.4,point
2000-01-01 12:20:00 AM,24.1,32.3,22.4,6.5,point
2025-07-09 02:30:00 PM,22.5,71.0,22.8,16.9,point
2025-07-09 03:00:00 PM,19.9,75.8,19.8,15.5,point
2025-07-09 03:30:00 PM,19.9,78.3,19.9,16.0,point
2025-07-09 04:00:00 PM,20.2,69.0,20.0,14.3,point
2025-07-09 04:30:00 PM,20.0,70.5,19.7,14.5,point
2025-07-09 05:00:00 PM,19.6,79.8,19.6,16.0,point
2025-07-09 05:30:00 PM,18.8,81.5,18.7,15.6,point
2025-07-09 06:00:00 PM,18.2,79.5,18.0,14.6,point
2025-07-09 06:30:00 PM,17.8,80.8,17.6,14.4,point
2025-07-09 07:00:00 PM,17.3,81.2,17.2,14.1,point
2025-07-09 07:30:00 PM,16.9,80.9,16.7,13.6,point
2025-07-09 08:00:00 PM,15.7,83.0,15.7,12.9,point
2025-07-09 08:30:00 PM,15.2,84.2,15.1,12.5,point
2025-07-09 09:00:00 PM,14.7,83.5,14.6,11.9,point
2025-07-09 09:30:00 PM,14.3,84.7,14.3,11.8,point
2025-07-09 10:00:00 PM,14.1,84.9,14.1,11.6,point
2025-07-09 10:30:00 PM,14.0,85.5,13.9,11.6,point
2025-07-09 11:00:00 PM,14.0,85.5,14.0,11.6,point
2025-07-09 11:30:00 PM,14.0,85.7,13.9,11.6,point
2025-07-10 12:00:00 AM,14.0,85.7,13.9,11.6,point
2025-07-10 12:30:00 AM,13.9,85.0,13.9,11.4,point
2025-07-10 01:00:00 AM,16.1,87.1,16.2,14.0,point
2025-07-10 01:30:00 AM,16.6,84.2,16.5,13.9,point
2025-07-10 02:00:00 AM,16.6,83.7,16.5,13.8,point
2025-07-10 02:30:00 AM,16.7,83.8,16.7,13.9,point
2025-07-10 03:00:00 AM,16.7,83.4,16.6,13.8,point
2025-07-10 03:30:00 AM,16.6,83.0,16.5,13.7,point
2025-07-10 04:00:00 AM,16.6,83.3,16.6,13.8,point
2025-07-10 04:30:00 AM,16.8,83.5,16.8,14.0,point
2025-07-10 05:00:00 AM,16.8,83.5,16.8,14.0,point
2025-07-10 05:30:00 AM,16.7,82.8,16.7,13.8,point
2025-07-10 06:00:00 AM,16.8,82.8,16.7,13.9,point
2025-07-10 06:30:00 AM,16.8,82.9,16.7,13.8,point
2025-07-10 07:00:00 AM,16.8,82.2,16.6,13.7,point
2025-07-10 07:30:00 AM,17.0,83.3,17.0,14.1,point
2025-07-10 08:00:00 AM,17.1,83.9,17.0,14.3,point
2025-07-10 08:30:00 AM,17.5,84.1,17.4,14.8,point
2025-07-10 09:00:00 AM,17.9,84.3,17.8,15.2,point
2025-07-10 09:30:00 AM,18.4,85.8,18.4,15.9,point
2025-07-10 10:00:00 AM,18.5,84.0,18.5,15.8,point
2025-07-10 10:30:00 AM,19.1,86.6,19.4,16.8,point
2025-07-10 11:00:00 AM,19.3,85.4,19.4,16.8,point
2025-07-10 11:30:00 AM,19.6,85.6,19.9,17.1,point
2025-07-10 12:00:00 PM,19.9,86.3,20.4,17.6,point
2025-07-10 12:30:00 PM,20.2,86.8,20.8,18.0,point
2025-07-10 01:00:00 PM,20.6,86.3,21.3,18.2,point
2025-07-10 01:30:00 PM,20.9,86.5,21.6,18.6,point
2025-07-10 02:00:00 PM,21.1,85.5,21.8,18.6,point
2025-07-10 02:30:00 PM,20.9,84.6,21.4,18.2,point
2025-07-10 03:00:00 PM,20.4,83.9,20.9,17.6,point
2025-07-10 03:30:00 PM,20.1,85.1,20.5,17.5,point
2025-07-10 04:00:00 PM,19.8,83.6,20.1,17.0,point
2025-07-10 04:30:00 PM,19.6,84.2,19.9,16.9,point
2025-07-10 05:00:00 PM,19.1,82.4,19.2,16.1,point
2025-07-10 05:30:00 PM,18.7,82.5,18.8,15.7,point
2025-07-10 06:00:00 PM,18.4,82.6,18.3,15.4,point
2025-07-10 06:30:00 PM,17.8,81.5,17.7,14.6,point
2025-07-10 07:00:00 PM,17.3,81.8,17.2,14.2,point
2025-07-10 07:30:00 PM,16.8,79.6,16.5,13.2,point
2025-07-10 08:00:00 PM,15.7,83.0,15.7,12.8,point
2025-07-10 08:30:00 PM,15.2,84.0,15.2,12.6,point
2025-07-10 09:00:00 PM,14.8,84.5,14.7,12.2,point
2025-07-10 09:30:00 PM,14.8,85.4,14.8,12.4,point
2025-07-10 10:00:00 PM,14.1,85.3,14.1,11.7,point
2025-07-10 10:30:00 PM,14.1,85.8,14.0,11.7,point
2025-07-10 11:00:00 PM,14.0,86.6,14.1,11.8,point
2025-07-10 11:30:00 PM,14.0,85.4,13.9,11.6,point
