flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01031_20250811222545_1d8,22:25:45,2025-08-11,PFA-00872,PSA-00872,PSF-01031,384.464966,77.408913,0.798658,0.000000,0.000000,0.000000,4.758901

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,180.791611,8038.181641
0.010000,293.266296,8038.181641
0.020000,349.890228,8038.181641
0.030000,367.504822,8038.181641
0.040000,373.507629,8038.181641
0.050000,376.318573,8038.181641
0.060000,377.959717,8038.181641
0.070000,379.093414,8038.181641
0.080000,379.987823,8038.181641
0.090000,380.694855,8038.181641
0.100000,381.313568,8038.181641
0.110000,381.799927,8038.181641
0.120000,382.223022,8038.181641
0.130000,382.582428,8038.181641
0.140000,382.875671,8038.181641
0.150000,383.127808,8038.181641
0.160000,383.336670,8038.181641
0.170000,383.543030,8038.181641
0.180000,383.679626,8038.181641
0.190000,383.805145,8038.181641
0.200000,383.948578,8038.181641
0.210000,384.019379,8038.181641
0.220000,384.091980,8038.181641
0.230000,384.153839,8038.181641
0.240000,384.224640,8038.181641
0.250000,384.277954,8038.181641
0.260000,384.319061,8038.181641
0.270000,384.353394,8038.181641
0.280000,384.384857,8038.181641
0.290000,384.424561,8038.181641
0.300000,384.446014,8038.181641
0.310000,384.424927,8038.181641
0.320000,384.432068,8038.181641
0.330000,384.455688,8038.181641
0.340000,384.458893,8038.181641
0.350000,384.464966,8038.181641
0.360000,384.454956,8038.181641
0.370000,384.443512,8038.181641
0.380000,384.430298,8038.181641
0.390000,384.401306,8038.181641
0.400000,384.392731,8038.181641
0.410000,384.326569,8038.181641
0.420000,384.282593,8038.181641
0.430000,384.250763,8038.181641
0.440000,384.221436,8038.181641
0.450000,384.168152,8038.181641
0.460000,384.135956,8038.181641
0.470000,384.100555,8038.181641
0.480000,384.058716,8038.181641
0.490000,384.045837,8038.181641
0.500000,384.009003,8038.181641
0.510000,383.923889,8038.181641
0.520000,383.831970,8038.181641
0.530000,383.740417,8038.181641
0.540000,383.639221,8038.181641
0.550000,383.548035,8038.181641
0.560000,383.485077,8038.181641
0.570000,383.407471,8038.181641
0.580000,383.362061,8038.181641
0.590000,383.286591,8038.181641
0.600000,383.246185,8038.181641
0.610000,383.140320,8038.181641
0.620000,383.052002,8038.181641
0.630000,382.982239,8038.181641
0.640000,382.903229,8038.181641
0.650000,382.822021,8038.181641
0.660000,382.745148,8038.181641
0.670000,382.641083,8038.181641
0.680000,382.547363,8038.181641
0.690000,382.481567,8038.181641
0.700000,382.429718,8038.181641
0.710000,382.373566,8038.181641
0.720000,382.314911,8038.181641
0.730000,382.266998,8038.181641
0.740000,382.216919,8038.181641
0.750000,382.149689,8038.181641
0.760000,382.127533,8038.181641
0.770000,382.054199,8038.181641
0.780000,381.996643,8038.181641
0.790000,381.948700,8038.181641
0.800000,381.903290,8038.181641
0.810000,381.806732,8038.181641
0.820000,381.753815,8038.181641
0.830000,381.719482,8038.181641
0.839999,381.651886,8038.181641
0.849999,381.614319,8038.181641
0.859999,381.569611,8038.181641
0.869999,381.537781,8038.181641
0.879999,381.460541,8038.181641
0.889999,381.404388,8038.181641
