SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,21:47:31,2025-08-18,FB_Fl_Dark_8k,Fern,,,,,0.052624,2.918360,0.051692,0.719594,1.220023,1.201393,2.486181,1.266158,12.944967,13.145704,26.788513,0.441786,7.500000,PSF-01031_20250818214731_de9,65.917252,341.693390,0.807087,0.000000,0.000000,0.000000,0.5,0.80,1.607088,1.000000,42.06,41.42,23.47,20.94,20.94,92.81,156.3,-15.7,110.0,5,4.097,21:46:26,2025-08-18,-0.54,1,0.001,0.009,0.022,0.089,-0.242,-0.310,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.471091,2.439315,1.666529,0.573062,0.289920,-0.027825,0.114970,0.111340,65.917252,0.000220,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250818214731_de9,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
2,21:48:02,2025-08-18,FB_Fl_Dark_8k,Fern,,,,,0.193235,2.916692,0.181228,2.382927,1.315954,1.254256,2.510895,1.194941,13.516850,14.181761,27.059393,0.441786,7.500000,PSF-01031_20250818214802_f7b,74.481369,356.910095,0.791316,0.000000,0.000000,0.000000,0.5,0.80,1.560097,1.000000,45.37,43.24,23.47,21.10,21.10,92.79,156.1,-15.3,109.8,5,4.096,21:46:26,2025-08-18,-0.54,1,0.024,0.005,-0.073,0.189,0.121,0.027,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.473743,2.443934,1.664769,0.573658,0.289953,-0.025992,0.119746,0.111295,74.481369,0.000221,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250818214802_f7b,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
3,21:48:26,2025-08-18,FB_Fl_Dark_8k,Fern,,,,,0.094773,2.916961,0.091791,1.462958,1.297777,1.259900,2.744423,1.446647,13.578230,13.986435,29.577272,0.441786,7.500000,PSF-01031_20250818214826_26a,94.611526,470.744843,0.799017,0.000000,0.000000,0.000000,0.5,0.80,1.503891,1.000000,44.70,43.40,23.48,22.55,22.55,92.79,156.1,-15.2,109.8,5,4.096,21:46:26,2025-08-18,-0.54,1,0.009,0.033,0.029,-0.041,0.192,-0.097,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.473963,2.443004,1.665053,0.573807,0.289774,-0.009737,0.123401,0.111089,95.500229,0.000226,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250818214826_26a,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
4,21:49:00,2025-08-18,FB_Fl_Dark_8k,Fern,,,,,0.066616,2.916772,0.065128,1.027698,1.264460,1.237837,2.697456,1.432997,13.339620,13.626523,29.069298,0.441786,7.500000,PSF-01031_20250818214900_7dc,94.964859,487.162842,0.805066,0.000000,0.000000,0.000000,0.5,0.80,0.163235,1.000000,43.46,42.55,23.52,22.27,22.27,92.79,156.1,-15.4,109.9,1,4.096,21:46:26,2025-08-18,-0.54,1,-0.007,-0.004,0.033,0.243,-0.358,-0.079,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.472723,2.441268,1.664854,0.573446,0.289353,-0.013380,0.128299,0.107216,94.964859,0.000223,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250818214900_7dc,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
5,21:49:28,2025-08-18,FB_Fl_Dark_8k,Fern,,,,,0.065914,2.917361,0.064458,1.126968,1.276730,1.247554,2.862855,1.586125,13.444992,13.759420,30.853226,0.441786,7.500000,PSF-01031_20250818214928_c3f,92.706802,457.893127,0.797536,0.000000,0.000000,0.000000,0.5,0.80,1.375044,1.000000,43.78,42.78,23.56,23.25,23.25,92.79,156.2,-13.1,108.4,4,4.094,21:46:26,2025-08-18,-0.54,1,-0.010,-0.023,0.031,0.172,0.178,-0.029,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.473052,2.441703,1.665474,0.577583,0.288896,-0.002649,0.132245,0.110724,92.706802,0.000220,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250818214928_c3f,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
6,21:49:57,2025-08-18,FB_Fl_Dark_8k,Fern,,,,,0.060121,2.917784,0.058907,0.977696,1.280694,1.255393,2.786966,1.506272,13.529613,13.802292,30.035681,0.441786,7.500000,PSF-01031_20250818214957_b4f,110.786316,538.575745,0.794298,0.000000,0.000000,0.000000,0.5,0.80,1.494885,1.000000,43.78,42.91,23.61,22.81,22.81,92.79,156.2,-13.3,108.5,5,4.093,21:46:26,2025-08-18,-0.54,1,-0.018,-0.017,0.001,0.039,0.727,0.618,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.473241,2.441695,1.665921,0.577231,0.288307,-0.008313,0.136295,0.111088,110.786316,0.000220,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250818214957_b4f,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
7,21:50:41,2025-08-18,FB_Fl_Dark_8k,Fern,,,,,0.046664,2.916186,0.045929,0.783741,1.312348,1.292049,2.859977,1.547629,13.925868,14.144651,30.825193,0.441786,7.500000,PSF-01031_20250818215041_124,98.142387,537.638794,0.817457,0.000000,0.000000,0.000000,0.5,0.80,1.146409,1.000000,44.65,43.95,23.69,23.23,23.23,92.78,156.0,-7.7,105.0,4,4.092,21:46:26,2025-08-18,-0.54,1,0.022,0.030,0.026,-0.229,-0.053,-0.011,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.474729,2.442884,1.664237,0.587265,0.287385,-0.004354,0.142284,0.109982,98.142387,0.000223,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250818215041_124,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
8,21:51:15,2025-08-18,FB_Fl_Dark_8k,Fern,,,,,0.099996,2.917567,0.096683,1.685470,1.328475,1.284873,2.909083,1.580608,13.847671,14.317580,31.352524,0.441786,7.500000,PSF-01031_20250818215115_ead,101.358536,506.269806,0.799793,0.000000,0.000000,0.000000,0.5,0.80,1.383898,1.000000,45.00,43.52,23.76,23.52,23.52,92.79,156.2,-14.4,109.2,4,4.091,21:46:26,2025-08-18,-0.54,1,0.008,-0.012,-0.036,0.274,0.033,0.296,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.474095,2.443364,1.665692,0.575264,0.286569,-0.001940,0.146750,0.110738,101.358536,0.000221,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250818215115_ead,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
