flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01031_20250818222535_01f,22:25:35,2025-08-18,PFA-00872,PSA-00872,PSF-01031,332.839600,65.816757,0.802257,0.000000,0.000000,0.000000,5.401848

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,156.980042,8038.181641
0.010000,250.898483,8038.181641
0.020000,298.709381,8038.181641
0.030000,317.868591,8038.181641
0.040000,324.483276,8038.181641
0.050000,327.327850,8038.181641
0.060000,328.853851,8038.181641
0.070000,329.815521,8038.181641
0.080000,330.480347,8038.181641
0.090000,330.982452,8038.181641
0.100000,331.403748,8038.181641
0.110000,331.689819,8038.181641
0.120000,331.944122,8038.181641
0.130000,332.149017,8038.181641
0.140000,332.317841,8038.181641
0.150000,332.459106,8038.181641
0.160000,332.561737,8038.181641
0.170000,332.645782,8038.181641
0.180000,332.697266,8038.181641
0.190000,332.761292,8038.181641
0.200000,332.826385,8038.181641
0.210000,332.810638,8038.181641
0.220000,332.824951,8038.181641
0.230000,332.837830,8038.181641
0.240000,332.839600,8038.181641
0.250000,332.836395,8038.181641
0.260000,332.838531,8038.181641
0.270000,332.821716,8038.181641
0.280000,332.819946,8038.181641
0.290000,332.795258,8038.181641
0.300000,332.784882,8038.181641
0.310000,332.751984,8038.181641
0.320000,332.725891,8038.181641
0.330000,332.700500,8038.181641
0.340000,332.668671,8038.181641
0.350000,332.656860,8038.181641
0.360000,332.617523,8038.181641
0.370000,332.580688,8038.181641
0.380000,332.548492,8038.181641
0.390000,332.497711,8038.181641
0.400000,332.504883,8038.181641
0.410000,332.458740,8038.181641
0.420000,332.420837,8038.181641
0.430000,332.382568,8038.181641
0.440000,332.341064,8038.181641
0.450000,332.308899,8038.181641
0.460000,332.264191,8038.181641
0.470000,332.231293,8038.181641
0.480000,332.162628,8038.181641
0.490000,332.144745,8038.181641
0.500000,332.116119,8038.181641
0.510000,332.063568,8038.181641
0.520000,332.021729,8038.181641
0.530000,332.002411,8038.181641
0.540000,331.967712,8038.181641
0.550000,331.930511,8038.181641
0.560000,331.887604,8038.181641
0.570000,331.844696,8038.181641
0.580000,331.801056,8038.181641
0.590000,331.768158,8038.181641
0.600000,331.749207,8038.181641
0.610000,331.683746,8038.181641
0.620000,331.655518,8038.181641
0.630000,331.598999,8038.181641
0.640000,331.550354,8038.181641
0.650000,331.505646,8038.181641
0.660000,331.439148,8038.181641
0.670000,331.377258,8038.181641
0.680000,331.323608,8038.181641
0.690000,331.269989,8038.181641
0.700000,331.227051,8038.181641
0.710000,331.146606,8038.181641
0.720000,331.107269,8038.181641
0.730000,331.030731,8038.181641
0.740000,330.982452,8038.181641
0.750000,330.906982,8038.181641
0.760000,330.851898,8038.181641
0.770000,330.770020,8038.181641
0.780000,330.692047,8038.181641
0.790000,330.604065,8038.181641
0.800000,330.532196,8038.181641
0.810000,330.441010,8038.181641
0.820000,330.350525,8038.181641
0.830000,330.288635,8038.181641
0.839999,330.253967,8038.181641
0.849999,330.321198,8038.181641
0.859999,330.289001,8038.181641
0.869999,330.284363,8038.181641
0.879999,330.686340,8038.181641
0.889999,330.617310,8038.181641
