SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,21:29:40,2025-09-01,FB_Fl_Dark_8k,Fern,,,,,0.533449,2.914171,0.450908,3.940718,1.441644,1.339328,2.238250,0.796606,14.402925,15.503211,24.069794,0.441786,7.500000,PSF-01031_20250901212940_57f,89.658020,472.567322,0.810275,0.000000,0.000000,0.000000,0.5,0.80,1.591190,1.000000,53.69,49.88,22.20,19.24,19.24,92.99,155.8,-14.9,109.6,5,4.097,21:28:26,2025-09-01,-0.57,1,-0.061,-0.065,0.126,0.002,-0.011,0.013,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.483472,2.455635,1.662124,0.574409,0.305091,-0.032109,0.094295,0.111277,89.658020,0.000225,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250901212940_57f,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
2,21:30:28,2025-09-01,FB_Fl_Dark_8k,Fern,,,,,0.572548,2.916490,0.478594,3.325455,1.447240,1.361063,2.081103,0.633862,14.636895,15.563648,22.380215,0.441786,7.500000,PSF-01031_20250901213028_8d3,129.991287,552.963501,0.764919,0.000000,0.000000,0.000000,0.5,0.80,1.585176,1.000000,53.78,50.58,22.23,18.08,18.08,92.99,156.1,-4.9,103.1,5,4.097,21:28:26,2025-09-01,-0.57,1,0.000,-0.029,-0.022,0.009,-0.125,-0.548,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.484462,2.455757,1.664557,0.592420,0.304667,-0.045225,0.101708,0.111527,129.649399,0.000220,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250901213028_8d3,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
3,21:30:58,2025-09-01,FB_Fl_Dark_8k,Fern,,,,,0.418335,2.917994,0.365881,4.106412,1.497539,1.391304,2.518680,1.021141,14.961583,16.103994,27.084978,0.441786,7.500000,PSF-01031_20250901213058_a28,105.375763,523.673035,0.798776,0.000000,0.000000,0.000000,0.5,0.80,1.129008,1.000000,55.55,51.61,22.26,21.15,21.15,92.99,156.2,-5.9,103.8,4,4.096,21:28:26,2025-09-01,-0.57,1,0.037,0.071,0.114,-0.034,0.170,0.092,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.485917,2.458149,1.666143,0.590511,0.304313,-0.011615,0.106174,0.110008,105.375763,0.000221,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250901213058_a28,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
4,21:31:22,2025-09-01,FB_Fl_Dark_8k,Fern,,,,,0.539703,2.915130,0.455392,3.956948,1.494463,1.391862,2.286046,0.791583,14.967702,16.071051,24.583521,0.441786,7.500000,PSF-01031_20250901213122_1f2,112.034081,515.354614,0.782608,0.000000,0.000000,0.000000,0.5,0.80,1.567086,1.000000,55.36,51.56,22.28,19.58,19.58,92.99,155.9,-15.7,110.0,5,4.095,21:28:26,2025-09-01,-0.57,1,0.023,0.060,0.114,-0.301,0.056,0.011,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.485833,2.457878,1.663129,0.573057,0.304016,-0.029365,0.109591,0.111366,112.034081,0.000221,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250901213122_1f2,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
5,21:31:48,2025-09-01,FB_Fl_Dark_8k,Fern,,,,,0.166760,2.915444,0.157738,2.176409,1.420430,1.363964,2.675252,1.254823,14.667459,15.274668,28.768473,0.441786,7.500000,PSF-01031_20250901213148_919,82.134964,421.707977,0.805233,0.000000,0.000000,0.000000,0.5,0.80,1.388689,1.000000,52.51,50.43,22.31,22.13,22.13,92.99,155.9,-15.9,110.2,4,4.095,21:28:26,2025-09-01,-0.57,1,-0.009,-0.027,-0.054,-0.096,0.382,0.394,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.484228,2.454015,1.663457,0.572626,0.303634,-0.001115,0.113190,0.110725,82.134964,0.000221,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250901213148_919,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
6,21:32:10,2025-09-01,FB_Fl_Dark_8k,Fern,,,,,0.217370,2.916512,0.202293,2.058169,1.420560,1.367205,2.347542,0.926983,14.701917,15.275655,25.243744,0.441786,7.500000,PSF-01031_20250901213210_792,111.553787,525.015930,0.787523,0.000000,0.000000,0.000000,0.5,0.80,1.644724,1.000000,52.38,50.42,22.36,20.01,20.01,93.00,156.1,-11.5,107.4,5,4.094,21:28:26,2025-09-01,-0.57,1,-0.012,-0.025,-0.056,0.141,0.424,0.036,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.484206,2.453829,1.664580,0.580406,0.303121,-0.025466,0.116310,0.111564,111.553787,0.000223,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250901213210_792,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
7,21:32:39,2025-09-01,FB_Fl_Dark_8k,Fern,,,,,0.001174,2.915637,0.001174,0.015501,1.417005,1.416603,2.618515,1.201510,15.233187,15.237511,28.157740,0.441786,7.500000,PSF-01031_20250901213239_82a,100.813507,533.140198,0.810906,0.000000,0.000000,0.000000,0.5,0.80,0.479882,1.000000,52.04,52.03,22.42,21.78,21.78,92.99,156.0,36.0,76.9,1,4.059,21:28:26,2025-09-01,-0.57,1,-0.003,0.011,0.013,-0.030,-0.063,-0.181,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.486475,2.453353,1.663661,0.669029,0.302327,-0.006327,0.120396,0.108113,100.698349,0.000223,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250901213239_82a,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
8,21:33:05,2025-09-01,FB_Fl_Dark_8k,Fern,,,,,0.380601,2.917329,0.336677,3.977966,1.521739,1.418793,2.596226,1.074487,15.256041,16.363007,27.916788,0.441786,7.500000,PSF-01031_20250901213305_3b8,111.343506,528.830383,0.789453,0.000000,0.000000,0.000000,0.5,0.80,1.467155,1.000000,55.68,51.91,22.49,21.64,21.64,93.00,156.2,-13.2,108.5,5,4.092,21:28:26,2025-09-01,-0.57,1,0.012,-0.001,0.042,0.214,0.123,0.315,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,8000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.486293,2.458266,1.665441,0.577433,0.301559,-0.008632,0.123869,0.111034,111.343506,0.000223,2.401301,0.000013,1.000000,2.369464,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20250901213305_3b8,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-07-31T17:03:34.552Z
