flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01031_20251006213616_fec,21:36:16,2025-10-06,PFA-00872,PSA-00872,PSF-01031,505.067810,105.538132,0.791042,0.000000,0.000000,0.000000,4.777903

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,243.656509,8038.181641
0.010000,362.269867,8038.181641
0.020000,416.949402,8038.181641
0.030000,449.674835,8038.181641
0.040000,464.977020,8038.181641
0.050000,472.525482,8038.181641
0.060000,476.951111,8038.181641
0.070000,479.994171,8038.181641
0.080000,482.342712,8038.181641
0.090000,484.308228,8038.181641
0.100000,486.065277,8038.181641
0.110000,487.605225,8038.181641
0.120000,489.080078,8038.181641
0.130000,490.460144,8038.181641
0.140000,491.765137,8038.181641
0.150000,492.990021,8038.181641
0.160000,494.165192,8038.181641
0.170000,495.258087,8038.181641
0.180000,496.282684,8038.181641
0.190000,497.254364,8038.181641
0.200000,498.165955,8038.181641
0.210000,498.943817,8038.181641
0.220000,499.678009,8038.181641
0.230000,500.339264,8038.181641
0.240000,500.935425,8038.181641
0.250000,501.511932,8038.181641
0.260000,502.007599,8038.181641
0.270000,502.421021,8038.181641
0.280000,502.820129,8038.181641
0.290000,503.179901,8038.181641
0.300000,503.521454,8038.181641
0.310000,503.777863,8038.181641
0.320000,504.001373,8038.181641
0.330000,504.210602,8038.181641
0.340000,504.397980,8038.181641
0.350000,504.544250,8038.181641
0.360000,504.663696,8038.181641
0.370000,504.766693,8038.181641
0.380000,504.853607,8038.181641
0.390000,504.927643,8038.181641
0.400000,505.015625,8038.181641
0.410000,505.019196,8038.181641
0.420000,505.050293,8038.181641
0.430000,505.057098,8038.181641
0.440000,505.067810,8038.181641
0.450000,505.054962,8038.181641
0.460000,505.019531,8038.181641
0.470000,504.985931,8038.181641
0.480000,504.949799,8038.181641
0.490000,504.911896,8038.181641
0.500000,504.888306,8038.181641
0.510000,504.789948,8038.181641
0.520000,504.735962,8038.181641
0.530000,504.660492,8038.181641
0.540000,504.578247,8038.181641
0.550000,504.477386,8038.181641
0.560000,504.382263,8038.181641
0.570000,504.273529,8038.181641
0.580000,504.170898,8038.181641
0.590000,504.050018,8038.181641
0.600000,503.965607,8038.181641
0.610000,503.821503,8038.181641
0.620000,503.682007,8038.181641
0.630000,503.553619,8038.181641
0.640000,503.434540,8038.181641
0.650000,503.266449,8038.181641
0.660000,503.093353,8038.181641
0.670000,502.933136,8038.181641
0.680000,502.764343,8038.181641
0.690000,502.602325,8038.181641
0.700000,502.452148,8038.181641
0.710000,502.231110,8038.181641
0.720000,502.042297,8038.181641
0.730000,501.840942,8038.181641
0.740000,501.661774,8038.181641
0.750000,501.439697,8038.181641
0.760000,501.239410,8038.181641
0.770000,501.026642,8038.181641
0.780000,500.824219,8038.181641
0.790000,500.605347,8038.181641
0.800000,500.424744,8038.181641
0.810000,500.163666,8038.181641
0.820000,499.925507,8038.181641
0.830000,499.683746,8038.181641
0.839999,499.458435,8038.181641
0.849999,499.240997,8038.181641
0.859999,499.036072,8038.181641
0.869999,498.800049,8038.181641
0.879999,498.575439,8038.181641
0.889999,498.328339,8038.181641
