flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01031_20251013221619_c1b,22:16:19,2025-10-13,PFA-00872,PSA-00872,PSF-01031,569.775574,115.038872,0.798098,0.000000,0.000000,0.000000,5.295207

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,294.587738,8038.181641
0.010000,435.902588,8038.181641
0.020000,500.165466,8038.181641
0.030000,535.688660,8038.181641
0.040000,551.108826,8038.181641
0.050000,557.866943,8038.181641
0.060000,561.281921,8038.181641
0.070000,563.269287,8038.181641
0.080000,564.548157,8038.181641
0.090000,565.433289,8038.181641
0.100000,566.156738,8038.181641
0.110000,566.675293,8038.181641
0.120000,567.150208,8038.181641
0.130000,567.547546,8038.181641
0.140000,567.890137,8038.181641
0.150000,568.159119,8038.181641
0.160000,568.443420,8038.181641
0.170000,568.659058,8038.181641
0.180000,568.846802,8038.181641
0.190000,569.005615,8038.181641
0.200000,569.175842,8038.181641
0.210000,569.256653,8038.181641
0.220000,569.372559,8038.181641
0.230000,569.440125,8038.181641
0.240000,569.528809,8038.181641
0.250000,569.594238,8038.181641
0.260000,569.632874,8038.181641
0.270000,569.671143,8038.181641
0.280000,569.699768,8038.181641
0.290000,569.743408,8038.181641
0.300000,569.775574,8038.181641
0.310000,569.754456,8038.181641
0.320000,569.757690,8038.181641
0.330000,569.752686,8038.181641
0.340000,569.753784,8038.181641
0.350000,569.755188,8038.181641
0.360000,569.718384,8038.181641
0.370000,569.733398,8038.181641
0.380000,569.705505,8038.181641
0.390000,569.670105,8038.181641
0.400000,569.661499,8038.181641
0.410000,569.616089,8038.181641
0.420000,569.590332,8038.181641
0.430000,569.577820,8038.181641
0.440000,569.547791,8038.181641
0.450000,569.525940,8038.181641
0.460000,569.467651,8038.181641
0.470000,569.449402,8038.181641
0.480000,569.405090,8038.181641
0.490000,569.350708,8038.181641
0.500000,569.340698,8038.181641
0.510000,569.270996,8038.181641
0.520000,569.209473,8038.181641
0.530000,569.156189,8038.181641
0.540000,569.096436,8038.181641
0.550000,569.025269,8038.181641
0.560000,568.956238,8038.181641
0.570000,568.888306,8038.181641
0.580000,568.812866,8038.181641
0.590000,568.747375,8038.181641
0.600000,568.697327,8038.181641
0.610000,568.577881,8038.181641
0.620000,568.499207,8038.181641
0.630000,568.400146,8038.181641
0.640000,568.328613,8038.181641
0.650000,568.239929,8038.181641
0.660000,568.138733,8038.181641
0.670000,568.054321,8038.181641
0.680000,567.962769,8038.181641
0.690000,567.668091,8038.181641
0.700000,567.460999,8038.181641
0.710000,567.079407,8038.181641
0.720000,566.652039,8038.181641
0.730000,566.114563,8038.181641
0.740000,565.610657,8038.181641
0.750000,565.265198,8038.181641
0.760000,565.014099,8038.181641
0.770000,564.826721,8038.181641
0.780000,564.592468,8038.181641
0.790000,564.490540,8038.181641
0.800000,564.426208,8038.181641
0.810000,564.454102,8038.181641
0.820000,564.552063,8038.181641
0.830000,564.552429,8038.181641
0.839999,564.578918,8038.181641
0.849999,564.585693,8038.181641
0.859999,564.447266,8038.181641
0.869999,564.198730,8038.181641
0.879999,563.829651,8038.181641
0.889999,563.347595,8038.181641
