flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01031_20251013221727_efa,22:17:27,2025-10-13,PFA-00872,PSA-00872,PSF-01031,425.508484,84.492088,0.801433,0.000000,0.000000,0.000000,5.317311

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,205.901031,8038.181641
0.010000,311.136963,8038.181641
0.020000,367.601379,8038.181641
0.030000,396.731262,8038.181641
0.040000,408.855194,8038.181641
0.050000,414.388763,8038.181641
0.060000,417.389984,8038.181641
0.070000,419.263611,8038.181641
0.080000,420.571808,8038.181641
0.090000,421.533478,8038.181641
0.100000,422.296295,8038.181641
0.110000,422.847046,8038.181641
0.120000,423.336273,8038.181641
0.130000,423.754700,8038.181641
0.140000,424.101227,8038.181641
0.150000,424.366241,8038.181641
0.160000,424.587952,8038.181641
0.170000,424.776428,8038.181641
0.180000,424.945221,8038.181641
0.190000,425.081848,8038.181641
0.200000,425.206299,8038.181641
0.210000,425.271393,8038.181641
0.220000,425.344360,8038.181641
0.230000,425.397644,8038.181641
0.240000,425.424805,8038.181641
0.250000,425.458801,8038.181641
0.260000,425.489899,8038.181641
0.270000,425.503845,8038.181641
0.280000,425.508484,8038.181641
0.290000,425.501709,8038.181641
0.300000,425.499573,8038.181641
0.310000,425.455566,8038.181641
0.320000,425.402649,8038.181641
0.330000,425.329315,8038.181641
0.340000,425.285706,8038.181641
0.350000,425.235626,8038.181641
0.360000,425.201660,8038.181641
0.370000,425.161957,8038.181641
0.380000,425.128326,8038.181641
0.390000,425.101868,8038.181641
0.400000,425.095795,8038.181641
0.410000,425.020325,8038.181641
0.420000,424.982056,8038.181641
0.430000,424.917328,8038.181641
0.440000,424.855103,8038.181641
0.450000,421.715485,8038.181641
0.460000,421.710846,8038.181641
0.470000,421.672943,8038.181641
0.480000,421.641113,8038.181641
0.490000,421.562073,8038.181641
0.500000,421.527374,8038.181641
0.510000,421.445129,8038.181641
0.520000,421.398987,8038.181641
0.530000,421.340698,8038.181641
0.540000,421.251648,8038.181641
0.550000,421.157227,8038.181641
0.560000,421.013489,8038.181641
0.570000,420.832886,8038.181641
0.580000,420.629730,8038.181641
0.590000,420.485962,8038.181641
0.600000,420.396210,8038.181641
0.610000,420.277832,8038.181641
0.620000,420.182709,8038.181641
0.630000,420.139069,8038.181641
0.640000,420.056458,8038.181641
0.650000,419.965973,8038.181641
0.660000,419.841522,8038.181641
0.670000,419.677032,8038.181641
0.680000,419.503937,8038.181641
0.690000,419.423462,8038.181641
0.700000,419.306519,8038.181641
0.710000,419.096954,8038.181641
0.720000,418.961395,8038.181641
0.730000,418.814056,8038.181641
0.740000,418.648132,8038.181641
0.750000,418.472534,8038.181641
0.760000,418.253296,8038.181641
0.770000,418.169617,8038.181641
0.780000,417.989380,8038.181641
0.790000,417.852051,8038.181641
0.800000,417.666779,8038.181641
0.810000,417.422546,8038.181641
0.820000,417.206512,8038.181641
0.830000,416.980865,8038.181641
0.839999,416.723358,8038.181641
0.849999,416.504517,8038.181641
0.859999,416.275635,8038.181641
0.869999,416.106476,8038.181641
0.879999,416.095734,8038.181641
0.889999,415.727020,8038.181641
