flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01031_20251117221746_5e4,22:17:46,2025-11-17,PFA-00872,PSA-00872,PSF-01031,509.867920,108.231064,0.787727,0.000000,0.000000,0.000000,4.893850

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,278.675446,8038.181641
0.010000,411.683319,8038.181641
0.020000,460.205566,8038.181641
0.030000,483.044739,8038.181641
0.040000,492.987885,8038.181641
0.050000,497.657074,8038.181641
0.060000,500.241638,8038.181641
0.070000,501.843445,8038.181641
0.080000,503.011475,8038.181641
0.090000,503.927002,8038.181641
0.100000,504.691956,8038.181641
0.110000,505.327118,8038.181641
0.120000,505.915039,8038.181641
0.130000,506.420380,8038.181641
0.140000,506.885284,8038.181641
0.150000,507.285461,8038.181641
0.160000,507.663483,8038.181641
0.170000,507.959259,8038.181641
0.180000,508.242859,8038.181641
0.190000,508.492126,8038.181641
0.200000,508.742798,8038.181641
0.210000,508.884796,8038.181641
0.220000,509.057526,8038.181641
0.230000,509.192352,8038.181641
0.240000,509.316101,8038.181641
0.250000,509.402283,8038.181641
0.260000,509.498108,8038.181641
0.270000,509.563934,8038.181641
0.280000,509.630096,8038.181641
0.290000,509.685516,8038.181641
0.300000,509.769562,8038.181641
0.310000,509.772064,8038.181641
0.320000,509.793152,8038.181641
0.330000,509.807465,8038.181641
0.340000,509.848236,8038.181641
0.350000,509.857880,8038.181641
0.360000,509.867920,8038.181641
0.370000,509.837158,8038.181641
0.380000,509.856812,8038.181641
0.390000,509.828217,8038.181641
0.400000,509.840363,8038.181641
0.410000,509.789948,8038.181641
0.420000,509.771362,8038.181641
0.430000,509.761322,8038.181641
0.440000,509.743103,8038.181641
0.450000,509.730927,8038.181641
0.460000,509.724487,8038.181641
0.470000,509.718048,8038.181641
0.480000,509.696259,8038.181641
0.490000,509.639038,8038.181641
0.500000,509.640808,8038.181641
0.510000,509.573578,8038.181641
0.520000,509.537109,8038.181641
0.530000,509.506714,8038.181641
0.540000,509.479889,8038.181641
0.550000,509.442322,8038.181641
0.560000,509.372589,8038.181641
0.570000,509.334320,8038.181641
0.580000,509.300354,8038.181641
0.590000,509.263885,8038.181641
0.600000,509.230255,8038.181641
0.610000,509.164093,8038.181641
0.620000,509.112610,8038.181641
0.630000,509.072906,8038.181641
0.640000,509.034637,8038.181641
0.650000,508.964539,8038.181641
0.660000,508.913757,8038.181641
0.670000,508.862244,8038.181641
0.680000,508.812561,8038.181641
0.690000,508.743896,8038.181641
0.700000,508.722076,8038.181641
0.710000,508.642303,8038.181641
0.720000,508.577942,8038.181641
0.730000,508.526794,8038.181641
0.740000,508.468506,8038.181641
0.750000,508.417725,8038.181641
0.760000,508.339417,8038.181641
0.770000,508.253204,8038.181641
0.780000,508.202087,8038.181641
0.790000,508.103729,8038.181641
0.800000,508.026489,8038.181641
0.810000,507.930267,8038.181641
0.820000,507.857330,8038.181641
0.830000,507.765411,8038.181641
0.839999,507.698883,8038.181641
0.849999,507.628082,8038.181641
0.859999,507.541901,8038.181641
0.869999,507.446777,8038.181641
0.879999,507.349487,8038.181641
0.889999,507.248291,8038.181641
