flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01031_20251208223448_a81,22:34:48,2025-12-08,PFA-00872,PSA-00872,PSF-01031,445.695526,86.434723,0.806068,0.000000,0.000000,0.000000,4.850806

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,219.378586,8038.181641
0.010000,334.827301,8038.181641
0.020000,388.496155,8038.181641
0.030000,416.012054,8038.181641
0.040000,427.657471,8038.181641
0.050000,433.006165,8038.181641
0.060000,435.950531,8038.181641
0.070000,437.793365,8038.181641
0.080000,439.086548,8038.181641
0.090000,440.031067,8038.181641
0.100000,440.802460,8038.181641
0.110000,441.398621,8038.181641
0.120000,441.935059,8038.181641
0.130000,442.416779,8038.181641
0.140000,442.822327,8038.181641
0.150000,443.191040,8038.181641
0.160000,443.528290,8038.181641
0.170000,443.806885,8038.181641
0.180000,444.063660,8038.181641
0.190000,444.288605,8038.181641
0.200000,444.512115,8038.181641
0.210000,444.652679,8038.181641
0.220000,444.818268,8038.181641
0.230000,444.957367,8038.181641
0.240000,445.090424,8038.181641
0.250000,445.197693,8038.181641
0.260000,445.280670,8038.181641
0.270000,445.354340,8038.181641
0.280000,445.433014,8038.181641
0.290000,445.501678,8038.181641
0.300000,445.555328,8038.181641
0.310000,445.587524,8038.181641
0.320000,445.615051,8038.181641
0.330000,445.639740,8038.181641
0.340000,445.660126,8038.181641
0.350000,445.672974,8038.181641
0.360000,445.695526,8038.181641
0.370000,445.669769,8038.181641
0.380000,445.680511,8038.181641
0.390000,445.671570,8038.181641
0.400000,445.690155,8038.181641
0.410000,445.647949,8038.181641
0.420000,445.636505,8038.181641
0.430000,445.610046,8038.181641
0.440000,445.590363,8038.181641
0.450000,445.566406,8038.181641
0.460000,445.537079,8038.181641
0.470000,445.507751,8038.181641
0.480000,445.489166,8038.181641
0.490000,445.461639,8038.181641
0.500000,445.435516,8038.181641
0.510000,445.363281,8038.181641
0.520000,445.337189,8038.181641
0.530000,445.289612,8038.181641
0.540000,445.249573,8038.181641
0.550000,445.211304,8038.181641
0.560000,445.162292,8038.181641
0.570000,445.105072,8038.181641
0.580000,445.052856,8038.181641
0.590000,445.003143,8038.181641
0.600000,444.977051,8038.181641
0.610000,444.884766,8038.181641
0.620000,444.847931,8038.181641
0.630000,444.779266,8038.181641
0.640000,444.728485,8038.181641
0.650000,444.672699,8038.181641
0.660000,444.602966,8038.181641
0.670000,444.540741,8038.181641
0.680000,444.473511,8038.181641
0.690000,444.399475,8038.181641
0.700000,444.353333,8038.181641
0.710000,444.271790,8038.181641
0.720000,444.191681,8038.181641
0.730000,444.135559,8038.181641
0.740000,444.072968,8038.181641
0.750000,443.994629,8038.181641
0.760000,443.939575,8038.181641
0.770000,443.864471,8038.181641
0.780000,443.797943,8038.181641
0.790000,443.719971,8038.181641
0.800000,443.690308,8038.181641
0.810000,443.591248,8038.181641
0.820000,443.532959,8038.181641
0.830000,443.455353,8038.181641
0.839999,443.399200,8038.181641
0.849999,443.317657,8038.181641
0.859999,443.250061,8038.181641
0.869999,443.169586,8038.181641
0.879999,443.102356,8038.181641
0.889999,443.052643,8038.181641
