flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01031_20250901214308_bb7,21:43:08,2025-09-01,PFA-00872,PSA-00872,PSF-01031,415.684448,85.539940,0.794219,0.000000,0.000000,0.000000,5.587984

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,223.870041,8038.181641
0.010000,352.828156,8038.181641
0.020000,391.319641,8038.181641
0.030000,402.637115,8038.181641
0.040000,407.062775,8038.181641
0.050000,409.340515,8038.181641
0.060000,410.767792,8038.181641
0.070000,411.724457,8038.181641
0.080000,412.452576,8038.181641
0.090000,412.989746,8038.181641
0.100000,413.452515,8038.181641
0.110000,413.790100,8038.181641
0.120000,414.076935,8038.181641
0.130000,414.330841,8038.181641
0.140000,414.544708,8038.181641
0.150000,414.736023,8038.181641
0.160000,414.887299,8038.181641
0.170000,415.042175,8038.181641
0.180000,415.172333,8038.181641
0.190000,415.274628,8038.181641
0.200000,415.390137,8038.181641
0.210000,415.426971,8038.181641
0.220000,415.490631,8038.181641
0.230000,415.556061,8038.181641
0.240000,415.602936,8038.181641
0.250000,415.627228,8038.181641
0.260000,415.661560,8038.181641
0.270000,415.653351,8038.181641
0.280000,415.684448,8038.181641
0.290000,415.666229,8038.181641
0.300000,415.673004,8038.181641
0.310000,415.653351,8038.181641
0.320000,415.625458,8038.181641
0.330000,415.590057,8038.181641
0.340000,415.562164,8038.181641
0.350000,415.529602,8038.181641
0.360000,415.493500,8038.181641
0.370000,415.436615,8038.181641
0.380000,415.420898,8038.181641
0.390000,415.330048,8038.181641
0.400000,415.298584,8038.181641
0.410000,415.207031,8038.181641
0.420000,415.139069,8038.181641
0.430000,415.063629,8038.181641
0.440000,414.970642,8038.181641
0.450000,414.904480,8038.181641
0.460000,414.811127,8038.181641
0.470000,414.724243,8038.181641
0.480000,414.642700,8038.181641
0.490000,414.525024,8038.181641
0.500000,414.451355,8038.181641
0.510000,414.305084,8038.181641
0.520000,414.206024,8038.181641
0.530000,414.105530,8038.181641
0.540000,413.981445,8038.181641
0.550000,413.898834,8038.181641
0.560000,413.812988,8038.181641
0.570000,413.701782,8038.181641
0.580000,413.594482,8038.181641
0.590000,413.484680,8038.181641
0.600000,413.417114,8038.181641
0.610000,413.301239,8038.181641
0.620000,413.199310,8038.181641
0.630000,413.101318,8038.181641
0.640000,413.006195,8038.181641
0.650000,412.908569,8038.181641
0.660000,412.813782,8038.181641
0.670000,412.709717,8038.181641
0.680000,412.628174,8038.181641
0.690000,412.534485,8038.181641
0.700000,412.474030,8038.181641
0.710000,412.365662,8038.181641
0.720000,412.291290,8038.181641
0.730000,412.212982,8038.181641
0.740000,412.128571,8038.181641
0.750000,412.040588,8038.181641
0.760000,411.956543,8038.181641
0.770000,411.891113,8038.181641
0.780000,411.826385,8038.181641
0.790000,411.741608,8038.181641
0.800000,411.715515,8038.181641
0.810000,411.607513,8038.181641
0.820000,411.544189,8038.181641
0.830000,411.473755,8038.181641
0.839999,411.426544,8038.181641
0.849999,411.355011,8038.181641
0.859999,411.260254,8038.181641
0.869999,411.190155,8038.181641
0.879999,411.126495,8038.181641
0.889999,411.074982,8038.181641
