PRISM Time Series Data
Location:  Lat: 36.0873   Lon: -105.4364   Elev: 2800m
"Climate variables: tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 800m
Period: 1984-01-01 - 2024-06-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Jun-19
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01-01,-7.2,-2.2,2.7,0.00,3.26
1984-01-02,-8.8,-4.9,-0.9,0.26,2.53
1984-01-03,-10.8,-5.3,0.2,0.14,2.24
1984-01-04,-8.4,-0.4,7.6,0.57,6.47
1984-01-05,-4.9,1.5,7.8,1.01,6.63
1984-01-06,-3.9,3.2,10.2,1.40,7.85
1984-01-07,-4.0,1.5,7.1,0.96,5.21
1984-01-08,-4.6,2.1,8.7,0.78,6.34
1984-01-09,-5.9,1.0,8.0,0.51,6.61
1984-01-10,-8.4,-4.6,-0.7,0.34,2.26
1984-01-11,-8.4,-3.2,1.9,0.59,4.78
1984-01-12,-9.2,-3.4,2.4,0.04,4.65
1984-01-13,-10.9,-7.4,-3.8,0.10,1.73
1984-01-14,-12.1,-8.8,-5.5,0.00,0.96
1984-01-15,-15.1,-11.2,-7.2,0.00,0.91
1984-01-16,-15.3,-8.5,-1.8,0.39,3.06
1984-01-17,-14.5,-9.1,-3.7,0.10,0.46
1984-01-18,-22.6,-16.2,-9.8,0.04,0.40
1984-01-19,-22.8,-16.1,-9.5,0.17,1.82
1984-01-20,-18.9,-11.9,-4.9,0.25,2.44
1984-01-21,-18.3,-12.5,-6.8,0.49,2.01
1984-01-22,-12.7,-6.2,0.4,0.61,3.53
1984-01-23,-14.3,-8.4,-2.5,0.11,2.56
1984-01-24,-13.4,-6.6,0.2,0.41,4.02
1984-01-25,-10.0,-3.7,2.6,0.44,3.71
1984-01-26,-7.9,-1.0,5.8,0.94,5.35
1984-01-27,-7.7,-4.0,-0.4,0.27,1.64
1984-01-28,-7.3,-1.1,5.1,0.39,6.03
1984-01-29,-4.6,1.4,7.3,0.78,7.63
1984-01-30,-8.2,-0.2,7.8,0.84,8.15
1984-01-31,-8.5,-1.6,5.3,0.63,5.63
1984-02-01,-5.9,1.6,9.0,0.84,9.34
1984-02-02,-5.9,2.2,10.4,1.65,9.84
1984-02-03,-6.4,-1.0,4.5,1.22,6.11
1984-02-04,-8.4,0.5,9.3,0.60,9.48
1984-02-05,-8.6,-2.2,4.1,0.57,6.09
1984-02-06,-8.6,-0.8,7.0,0.59,7.02
1984-02-07,-5.0,2.1,9.2,0.79,9.19
1984-02-08,-6.3,-0.1,6.0,0.31,6.39
1984-02-09,-8.5,-3.9,0.7,0.09,2.79
1984-02-10,-6.1,-0.2,5.8,0.54,7.63
1984-02-11,-6.0,0.6,7.2,0.53,8.99
1984-02-12,-12.1,-7.0,-1.9,0.26,2.86
1984-02-13,-10.0,-3.0,4.1,0.92,6.16
1984-02-14,-5.2,1.7,8.5,0.54,8.43
1984-02-15,-6.5,0.0,6.4,0.02,7.73
1984-02-16,-11.0,-3.6,3.7,0.20,5.92
1984-02-17,-7.9,-0.8,6.3,0.75,7.28
1984-02-18,-10.0,-4.3,1.4,0.02,4.40
1984-02-19,-13.4,-6.9,-0.5,0.04,3.39
1984-02-20,-14.6,-10.0,-5.4,0.01,0.85
1984-02-21,-14.0,-7.2,-0.4,0.31,3.08
1984-02-22,-6.5,1.0,8.5,1.29,9.27
1984-02-23,-6.8,0.7,8.3,0.68,9.00
1984-02-24,-8.5,-3.8,1.0,0.56,4.72
