PRISM Time Series Data
Location:  Lat: 36.4023   Lon: -106.2543   Elev: 2444m
"Climate variables: tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 800m
Period: 1984-01-01 - 2024-06-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Jun-19
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01-01,-6.8,-1.6,3.5,0.00,2.94
1984-01-02,-7.6,-3.1,1.4,0.31,2.84
1984-01-03,-10.5,-4.3,2.0,0.08,3.30
1984-01-04,-7.3,-0.4,6.5,0.44,5.57
1984-01-05,-4.8,2.1,9.0,0.78,7.06
1984-01-06,-5.0,2.4,9.8,0.83,7.57
1984-01-07,-4.3,2.5,9.3,0.52,6.43
1984-01-08,-5.6,1.1,7.8,0.57,5.76
1984-01-09,-5.2,2.4,10.0,0.40,7.70
1984-01-10,-8.4,-2.2,3.9,0.03,3.84
1984-01-11,-8.1,-2.5,3.1,0.54,5.00
1984-01-12,-8.2,-3.0,2.3,0.02,3.07
1984-01-13,-10.3,-6.2,-2.0,0.15,2.07
1984-01-14,-11.6,-6.2,-0.8,0.00,2.00
1984-01-15,-12.3,-7.8,-3.3,0.00,1.59
1984-01-16,-14.0,-8.2,-2.4,0.41,2.67
1984-01-17,-13.8,-8.9,-3.9,0.20,0.95
1984-01-18,-21.0,-14.9,-8.9,0.06,0.48
1984-01-19,-21.2,-14.2,-7.1,0.30,2.21
1984-01-20,-18.0,-10.3,-2.7,0.35,3.17
1984-01-21,-17.7,-10.1,-2.4,0.60,3.65
1984-01-22,-12.8,-6.2,0.3,0.75,4.02
1984-01-23,-13.1,-7.2,-1.2,0.17,2.83
1984-01-24,-12.6,-6.2,0.3,0.29,3.10
1984-01-25,-9.2,-3.2,2.9,0.71,3.83
1984-01-26,-7.5,-1.1,5.4,0.77,4.83
1984-01-27,-8.7,-2.9,2.9,0.03,2.93
1984-01-28,-7.8,-1.6,4.7,0.04,4.22
1984-01-29,-6.4,0.8,8.0,0.56,7.23
