PRISM Time Series Data,,,
Location:  Lat: 35.9989   Lon: -106.4144   Elev: 2878m,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 800m,,,
Period: 1980-06 - 2024-06,,,
Dataset: AN91m,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Jun-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees C),tmean (degrees C),tmax (degrees C)
1980-06,5.2,14.2,23.2
1981-06,6.6,14.6,22.5
1982-06,5.2,12.6,19.9
1983-06,4.8,11.7,18.7
1984-06,5.4,12.7,20
1985-06,5.7,13.2,20.6
1986-06,5.8,12.4,18.9
1987-06,5.8,13.1,20.5
1988-06,6.5,13.3,20.1
1989-06,3.8,11.6,19.4
1990-06,6.2,14.8,23.4
1991-06,3.9,11.4,18.9
1992-06,3.7,11.1,18.6
1993-06,4.2,12.2,20.2
1994-06,7.4,15.4,23.4
1995-06,1.1,9.8,18.5
1996-06,6.6,14.4,22.2
1997-06,5,12.3,19.7
1998-06,4.4,12.9,21.3
1999-06,4.8,12.2,19.6
2000-06,6.5,14.6,22.7
2001-06,6,14.4,22.7
2002-06,5.6,16,25
2003-06,4.7,12.9,21.2
2004-06,5.2,13.8,22.3
2005-06,5.5,13.4,21.3
2006-06,6.9,15.1,23.2
2007-06,6,13.7,21.4
2008-06,6.1,14.1,22
2009-06,5.2,11.8,18.4
2010-06,7.3,15.1,22.9
2011-06,6.7,14.9,23.2
2012-06,8.3,16.5,24.7
2013-06,8.3,15.9,23.5
2014-06,6.8,14.4,22
2015-06,7.2,14.1,21.1
2016-06,8.1,15.7,23.4
2017-06,8.3,16.1,23.9
2018-06,8.8,16.8,24.7
2019-06,5.8,13.2,20.5
2020-06,7.2,15,22.8
2021-06,8,15.4,22.8
2022-06,8,14.8,21.6
2023-06,5,12.2,19.4
2024-06,9.1,15.6,22.2
