PRISM Time Series Data,,,
Location:  Lat: 36.4023   Lon: -106.2543   Elev: 2444m,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 800m,,,
Period: 1980-06 - 2024-06,,,
Dataset: AN91m,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Jun-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees C),tmean (degrees C),tmax (degrees C)
1980-06,6.2,16.3,26.3
1981-06,8.4,17.4,26.4
1982-06,6.7,14.7,22.7
1983-06,5.6,13.8,21.9
1984-06,7.3,15.1,22.8
1985-06,8,15.9,23.9
1986-06,8.4,15.6,22.7
1987-06,8.3,16.3,24.3
1988-06,8.9,16.5,24.1
1989-06,7.2,15.2,23.2
1990-06,9.3,17.6,25.9
1991-06,8.1,15.3,22.6
1992-06,7.9,14.9,21.9
1993-06,7.1,15.3,23.4
1994-06,9.9,18.2,26.5
1995-06,5.8,14,22.2
1996-06,10,18,26
1997-06,7.4,15.4,23.4
1998-06,6.4,15.4,24.5
1999-06,7.2,15.2,23.3
2000-06,10,18.2,26.4
2001-06,9.3,17.9,26.6
2002-06,10.4,19.6,28.8
2003-06,8.6,16.7,24.7
2004-06,7.9,17.7,26.5
2005-06,9.4,16.8,24.3
2006-06,11.8,19.4,27
2007-06,9.9,17.4,24.8
2008-06,10,17.5,24.9
2009-06,8.4,14.9,21.4
2010-06,10.4,18.4,26.3
2011-06,10.2,18.2,26.1
2012-06,11.9,20,28
2013-06,11.6,19.5,27.4
2014-06,10.6,18.3,26.1
2015-06,11.1,17.9,24.7
2016-06,11.4,19.1,26.8
2017-06,10.9,18.6,26.4
2018-06,12.8,20.3,27.9
2019-06,8.8,16.2,23.5
2020-06,10.2,18.2,26.3
2021-06,11.7,18.9,26.2
2022-06,10.7,18.2,25.7
2023-06,8.9,16,23.1
2024-06,12,19.4,26.9
